id,sex,semestre,carrera,tipo_colegio,pps_actual_20,pps_anterior_20,horas_de_estudio_semana,horas_trabajo_semana,horas_deporte,horas_cultura,horas_extracurriculares,horas_sueno,estres,apoyo_social,autoeficacia_academica,entregas_tarea_puntual,ingresos_mensual_cat,ingresos_mensual,tipo_financiamiento,costo_servicio_mensual_cat,horas_pantalla_no_academica,deuda_academica_flag,deuda_academica_months,puntualidad_pago,indice_financiero,rendimiento,asistencia_total_pct,indice_procrastinacion,alimentacion,phc_score,tiene_hijos,desercion
14,M,4,Salud,Publico,8.89,9.98,7.23,1.046870707424814,11.286832818642063,37.29368471557355,50.20576385738596,11.29,6.13,31.82,45.85,61.34,Muy_bajo,300,Pago_directo,Bajo,21.362011216071643,1,1,Impuntual,6.87,44.4,9.0,41.15,7.0,14.21,0,0
15,M,2,Ciencias,Publico,10.71,12.07,5.18,19.65354627633942,77.54446247984613,37.624842045478665,80.0,5.11,34.2,12.85,31.65,60.94,Muy_bajo,300,Credito,Bajo,6.622976355259606,1,6,Impuntual,7.36,48.77,14.39,42.61,7.0,73.43,0,0
16,M,2,Ciencias,Publico,8.4,9.2,2.19,47.31267980011676,45.980141174179565,76.1536257558503,80.0,20.47,0.0,13.48,38.9,73.39,Bajo,600,Pago_directo,Bajo,20.625905957095252,1,12,Impuntual,2.75,59.52,65.11,41.57,7.0,15.43,0,1
17,M,1,Salud,Publico,9.47,7.09,7.57,36.51296320021366,22.945358918956646,42.80258191866426,68.7683782263716,16.32,0.0,96.21,43.49,60.96,Medio,1200,Beca_total,Bajo,12.91626063030145,0,0,Impuntual,44.77,43.27,0.0,66.36,7.0,3.99,0,1
18,F,2,Negocios,Publico,6.59,6.85,0.3,39.48395921945851,57.02722117873817,62.7725799689798,80.0,2.28,62.29,26.18,40.57,57.04,Bajo,600,Beca_parcial,Bajo,15.115576505141195,0,0,Puntual,62.93,37.91,12.48,45.34,7.0,22.91,1,1
19,M,4,Ciencias_Sociales,Publico,9.67,8.61,8.21,52.84496403676848,70.40848939103145,69.39095472860187,80.0,13.0,24.95,48.36,45.35,74.34,Medio,1200,Financiamiento_familiar,Bajo,13.631654296211746,1,12,Puntual,30.71,62.69,61.58,37.84,7.0,57.63,0,1
20,M,6,Negocios,Publico,12.94,14.77,13.05,18.766881953485395,23.717412266482167,46.45838339693712,73.49446349040005,20.44,0.0,88.78,52.69,78.4,Medio,1200,Credito,Bajo,23.706680001154066,0,0,Puntual,77.95,75.16,71.77,51.72,7.0,24.03,0,1
21,F,5,Ciencias_Sociales,Publico,19.06,20.0,17.29,22.46439522612019,25.960926499153594,62.90993711553643,80.0,1.61,48.25,36.35,63.02,91.28,Muy_bajo,300,Pago_directo,Bajo,10.324322127278178,1,1,Impuntual,9.38,82.78,24.04,14.65,7.0,0.0,0,0
22,M,3,Ciencias,Publico,6.12,5.72,1.42,54.75665659422771,35.08389643587846,24.7634053253433,63.5400743479983,9.99,41.08,52.86,36.46,45.75,Muy_bajo,300,Financiamiento_familiar,Muy_bajo,10.455015456726672,0,0,Puntual,46.52,46.28,63.6,56.23,5.49,46.8,0,1
23,M,8,Ingenieria,Privado,10.64,11.89,5.06,43.063312603509516,17.383181742525473,14.554082632671124,32.6095946918492,19.33,4.85,16.88,37.39,48.32,Medio,1200,Financiamiento_familiar,Bajo,16.15580322806784,1,2,Puntual,41.7,50.44,32.07,69.91,7.0,9.81,0,1
24,M,5,Negocios,Publico,15.33,14.73,8.89,1.16694594070621,64.78307014791929,55.64311235810923,80.0,20.6,0.0,28.51,52.61,67.14,Bajo,600,Financiamiento_familiar,Bajo,9.84203457815052,0,0,Puntual,69.9,79.12,74.99,33.88,7.0,36.82,0,0
25,M,7,Ingenieria,Concertado,5.8,5.73,3.07,53.6262236228353,46.734133986606494,74.09541678203324,80.0,18.61,24.87,45.61,29.82,53.3,Bajo,600,Pago_directo,Bajo,15.830739608477684,0,0,Puntual,51.76,38.86,32.19,62.6,7.0,79.33,0,0
26,F,4,Ciencias,Publico,9.42,11.83,2.1,49.60736326018225,4.563560486612834,3.3997450543563623,9.735551552364935,7.34,34.77,36.49,39.06,51.65,Bajo,600,Financiamiento_familiar,Bajo,14.525358436529544,1,1,Puntual,20.46,40.37,0.0,39.42,7.0,10.68,0,1
27,M,2,Ciencias_Sociales,Privado,14.28,12.64,8.14,6.288605903861901,79.73632612052397,61.04461410999516,80.0,12.17,0.0,3.83,46.92,74.09,Bajo,600,Credito,Muy_bajo,19.588585670952007,0,0,Puntual,57.18,59.79,3.5,49.38,7.0,24.86,0,0
28,F,1,Negocios,Privado,16.65,17.17,10.45,59.80155958727889,45.997720493116745,2.2719057657570474,52.24878205325845,17.79,10.84,35.08,53.96,73.57,Alto,3000,Pago_directo,Bajo,24.0,0,0,Puntual,99.43,87.23,87.24,34.75,7.0,49.52,0,0
29,F,5,Salud,Concertado,13.97,14.66,14.76,41.76811671576566,71.19490632173502,36.688186870900424,80.0,3.66,56.51,81.51,66.7,87.15,Muy_bajo,300,Credito,Bajo,24.0,0,0,Puntual,56.16,67.54,16.63,41.41,7.0,72.83,0,1
30,M,1,Salud,Concertado,20.0,20.0,17.96,16.379782716556768,40.129453302274605,54.175174633676875,80.0,14.28,1.56,11.61,60.11,84.9,Bajo,600,Beca_parcial,Muy_bajo,3.4701925397589513,1,3,Impuntual,9.08,100.0,91.61,24.99,7.0,18.43,0,0
31,F,2,Negocios,Publico,17.27,15.51,13.94,44.748509449314184,46.59595990726206,32.42435101388814,80.0,17.29,1.44,1.87,43.65,95.05,Bajo,600,Financiamiento_familiar,Bajo,11.388308852613237,1,2,Impuntual,12.96,75.74,17.76,26.87,7.0,1.63,0,0
32,M,4,Ciencias,Privado,7.91,9.93,3.98,47.63668113368026,36.35801997751368,24.076050172813737,61.73420071954383,20.4,0.0,11.87,28.02,67.34,Medio,1200,Beca_parcial,Muy_bajo,11.229988361439379,0,0,Puntual,75.53,47.74,33.3,54.67,7.0,75.39,0,1
33,M,4,Ingenieria,Privado,14.07,14.97,13.46,73.60949833521897,33.820858677635,14.946917608185002,50.07074663242931,2.68,83.33,63.69,51.61,93.84,Medio,1200,Pago_directo,Bajo,5.003197033409762,0,0,Puntual,61.21,84.9,84.42,21.35,7.0,0.0,0,1
34,F,4,Ciencias,Privado,10.21,12.68,9.67,59.371554044093635,17.464355381258223,78.22973532874474,80.0,7.91,45.87,79.46,43.92,79.86,Alto,3000,Financiamiento_familiar,Bajo,18.95308764564663,0,0,Puntual,98.41,50.23,1.4,55.17,7.0,0.0,0,1
35,F,1,Artes,Concertado,11.56,11.74,8.11,24.15394835929594,76.96994012535357,45.6252839456108,80.0,13.0,0.0,0.0,27.73,63.48,Medio,1200,Pago_directo,Bajo,24.0,1,2,Puntual,32.93,60.79,52.99,55.42,7.0,15.18,0,1
36,F,3,Negocios,Publico,19.56,20.0,16.84,9.450637405135405,14.541699489931323,10.22756109879472,26.58236972335621,16.83,0.0,88.76,70.31,84.88,Bajo,600,Credito,Bajo,4.292736754423047,1,3,Impuntual,13.03,88.0,43.42,31.48,7.0,2.6,0,0
37,M,4,Salud,Privado,17.45,15.9,12.64,68.25472576646247,42.11234230316129,3.852009230624791,47.68415981645986,17.52,43.72,57.73,53.7,89.76,Muy_bajo,300,Pago_directo,Bajo,7.172595880785117,0,0,Puntual,58.44,82.47,44.13,31.93,7.0,5.58,0,0
38,M,8,Salud,Publico,10.54,10.05,12.27,67.68541503003567,6.967747674961613,19.4712625797783,28.183735763776866,6.08,79.23,51.81,39.94,70.27,Bajo,600,Beca_parcial,Bajo,21.610953677246293,0,0,Puntual,66.3,57.79,39.51,54.52,7.0,19.24,0,0
39,F,5,Ciencias,Concertado,3.51,4.94,0.21,14.02480117791658,79.47015225096717,43.09000818680505,80.0,0.33,44.8,25.36,36.25,40.75,Medio,1200,Beca_total,Muy_bajo,8.62621342644661,0,0,Puntual,77.06,24.82,8.95,65.0,7.0,18.82,0,0
40,M,7,Salud,Publico,20.0,19.01,15.57,4.97049481583093,44.45411145638464,60.15926911193333,80.0,16.65,0.0,37.17,51.43,89.02,Medio,1200,Beca_total,Bajo,11.057533274877411,0,0,Puntual,79.93,93.55,64.61,23.36,7.0,78.89,0,0
41,M,5,Artes,Privado,15.63,17.86,14.28,56.949171985283115,65.16665839311091,78.4767757683005,80.0,21.82,0.0,94.7,49.16,85.87,Alto,3000,Financiamiento_familiar,Bajo,18.699891830334938,0,0,Puntual,91.36,72.39,27.71,46.57,7.0,8.64,0,1
42,F,4,Ingenieria,Publico,9.68,10.95,5.38,57.806546466918725,45.03430831020993,66.71573687311462,80.0,19.14,16.27,91.15,41.17,70.45,Medio,1200,Beca_parcial,Muy_bajo,4.1385780423821,1,2,Impuntual,27.05,48.84,11.64,55.72,7.0,72.91,0,1
43,M,2,Ingenieria,Publico,13.33,11.94,5.26,14.171500296430324,64.39881758637725,48.957477004099054,80.0,14.94,0.0,62.55,50.14,78.7,Bajo,600,Financiamiento_familiar,Muy_bajo,13.363686537071416,0,0,Puntual,68.65,61.23,12.88,35.62,7.0,3.85,0,1
44,F,5,Negocios,Concertado,8.54,10.64,0.96,53.45694876459643,42.75279411257309,53.31819124228619,80.0,23.46,0.0,57.89,46.86,51.01,Muy_bajo,300,Credito,Bajo,3.4887543097213403,1,1,Puntual,33.79,51.6,51.23,42.84,7.0,19.35,0,1
45,M,4,Negocios,Concertado,1.74,1.0,0.92,22.313899575754306,35.597949409457364,41.765581550293504,80.0,10.39,1.85,21.05,23.88,57.5,Muy_bajo,300,Credito,Bajo,8.846228163625065,1,2,Puntual,15.73,37.54,65.7,75.88,7.0,11.78,0,1
46,F,4,Artes,Concertado,18.12,18.33,12.03,20.849362237504323,36.4724638920419,34.76590685992996,75.49148149731151,12.6,5.06,95.33,60.7,63.65,Muy_bajo,300,Financiamiento_familiar,Muy_bajo,6.283136980128642,1,2,Impuntual,8.18,87.96,82.71,29.85,7.0,33.01,0,0
47,M,3,Ingenieria,Publico,7.07,7.56,3.35,25.9614347272274,0.1874831877269223,62.77799077124818,65.49634983563622,0.29,59.27,75.54,32.26,71.4,Muy_bajo,300,Beca_parcial,Bajo,18.735677977628242,1,1,Puntual,32.22,57.76,76.02,60.51,7.0,87.25,0,1
48,F,4,Salud,Publico,20.0,19.44,16.62,41.63170932134834,29.652396062791038,14.188553512425566,47.61866740991921,22.7,1.53,33.23,53.21,100.0,Bajo,600,Pago_directo,Bajo,3.8467384273421437,1,2,Puntual,23.76,100.0,97.0,11.53,7.0,20.4,0,0
49,F,2,Ciencias_Sociales,Concertado,17.92,16.76,15.16,64.35631386628982,76.15552443388187,26.71465888981927,80.0,14.0,23.29,81.58,52.52,92.55,Bajo,600,Financiamiento_familiar,Bajo,16.585672652828883,0,0,Puntual,61.52,76.66,13.89,34.97,7.0,50.56,0,0
50,M,3,Salud,Privado,11.77,9.58,6.28,39.8915000711701,54.04614742266553,78.29466225755436,80.0,9.38,25.13,16.19,32.02,63.94,Medio,1200,Pago_directo,Muy_bajo,14.573417183068615,0,0,Puntual,69.23,60.71,48.38,37.94,7.0,73.56,0,0
51,F,2,Ciencias,Privado,12.8,14.57,6.84,23.84341564992595,73.5455202362,45.73843102994953,80.0,1.07,61.58,21.32,42.38,73.37,Bajo,600,Credito,Bajo,16.8847418372011,0,0,Puntual,53.67,68.09,54.05,33.27,7.0,41.27,0,1
52,F,6,Negocios,Publico,9.94,8.27,5.89,70.71794389694794,16.021005585064287,39.88079623276679,59.10191880882462,8.7,51.17,74.1,46.97,62.94,Bajo,600,Pago_directo,Bajo,22.244627100543983,0,0,Puntual,57.83,54.27,35.93,60.34,7.0,43.77,0,1
53,F,2,Ingenieria,Privado,2.52,1.26,1.66,4.407196595389173,39.292819888778034,68.06312188089004,80.0,0.09,47.68,55.93,26.94,55.28,Bajo,600,Financiamiento_familiar,Muy_bajo,14.206686836286396,0,0,Puntual,56.03,31.57,35.03,69.39,7.0,46.25,0,1
54,F,1,Ciencias,Publico,1.88,3.54,0.57,63.76731871184643,2.7585544334987766,60.961590628023615,65.20316332354712,7.78,52.49,50.58,27.34,50.78,Bajo,600,Pago_directo,Bajo,18.64635805973277,1,1,Puntual,36.99,20.13,0.0,67.59,7.0,19.03,0,1
55,F,3,Salud,Publico,18.36,17.53,8.14,62.75054063374846,54.16417215319256,26.083342563738093,80.0,22.83,9.32,57.37,59.42,90.8,Alto,3000,Beca_total,Muy_bajo,19.82519127265905,0,0,Puntual,100.0,85.45,43.62,25.8,7.0,0.0,0,0
56,F,4,Negocios,Publico,17.67,18.37,16.97,20.28374481234745,62.72130144071396,50.076930469261846,80.0,3.7,36.33,7.58,46.71,96.84,Muy_bajo,300,Pago_directo,Bajo,17.111884632824534,1,6,Impuntual,0.0,77.81,19.01,20.84,5.26,80.24,1,0
57,M,3,Ingenieria,Publico,16.53,16.95,16.51,15.863614601622373,59.82411129692315,14.831304761912474,75.97742279728003,13.09,8.14,29.96,59.61,86.63,Alto,3000,Pago_directo,Bajo,8.151940047394216,0,0,Puntual,100.0,70.53,6.35,24.72,7.0,0.0,0,0
58,M,2,Negocios,Concertado,16.5,17.94,14.58,69.97604491964778,6.94159943449665,4.238200732758699,15.050767022165747,4.48,60.62,57.31,58.39,79.54,Bajo,600,Beca_total,Bajo,23.903034854666398,1,3,Impuntual,0.64,80.44,53.87,41.4,7.0,32.89,0,0
59,M,4,Ciencias_Sociales,Publico,10.87,11.61,11.31,44.709703484825944,19.802212529506438,79.18785927371965,80.0,18.8,5.12,24.76,40.36,75.54,Bajo,600,Financiamiento_familiar,Bajo,2.454903383302492,0,0,Puntual,68.45,59.42,37.29,49.86,7.0,2.6,0,1
60,M,2,Salud,Publico,16.34,15.77,15.41,3.6809086105131694,52.46618935060993,58.97696817305196,80.0,13.5,0.0,45.4,47.29,80.49,Muy_bajo,300,Pago_directo,Bajo,9.682803989289146,1,1,Impuntual,0.0,90.7,100.0,37.37,7.0,41.85,0,0
61,M,7,Ingenieria,Publico,10.6,12.32,9.27,71.26660131737141,60.71928807121181,74.46122808355098,80.0,4.85,85.29,55.7,40.6,71.69,Muy_bajo,300,Financiamiento_familiar,Muy_bajo,20.80899209079155,1,1,Puntual,18.67,53.08,18.39,54.88,7.0,3.82,0,0
62,M,7,Ingenieria,Publico,11.33,12.04,3.24,27.920478748453903,21.93684360246907,66.55096614155455,80.0,20.79,0.0,94.28,48.13,71.59,Bajo,600,Beca_total,Bajo,9.422861442656831,0,0,Puntual,54.05,74.22,92.72,51.25,7.0,17.72,0,0
63,F,3,Ingenieria,Concertado,13.23,12.98,12.32,27.372524304802113,32.499283550491555,34.24595275905419,67.22917764523001,18.82,4.05,24.58,44.49,88.39,Medio,1200,Financiamiento_familiar,Bajo,13.892352371359278,0,0,Puntual,76.06,59.64,0.08,39.51,7.0,79.95,0,1
64,M,2,Ciencias_Sociales,Publico,20.0,19.33,16.57,51.46303497278986,28.10128620925168,68.91527877561134,80.0,22.83,0.0,43.94,58.87,98.63,Bajo,600,Beca_total,Bajo,3.4826176656142542,1,12,Puntual,29.36,80.64,0.37,12.74,7.0,81.49,0,0
65,M,5,Ingenieria,Publico,5.04,5.57,0.35,52.90487542388607,0.36519385622114875,62.93595292475984,64.27297128217388,0.02,81.9,93.15,49.23,46.58,Bajo,600,Pago_directo,Muy_bajo,21.693761711903225,0,0,Puntual,53.35,41.84,50.67,56.45,7.0,53.13,0,1
66,F,1,Negocios,Concertado,9.61,7.21,4.53,28.265289666273183,46.1210485153468,20.660395794847936,71.41875262732177,10.97,20.05,18.68,37.09,65.35,Bajo,600,Beca_total,Bajo,23.331019505023953,1,2,Puntual,22.77,58.5,57.73,49.16,7.0,62.28,0,0
67,M,3,Ingenieria,Concertado,8.88,10.13,4.78,11.462314231750454,53.52902124169057,49.8406918693576,80.0,24.0,0.0,78.0,54.73,65.44,Bajo,600,Beca_parcial,Muy_bajo,24.0,0,0,Puntual,57.52,57.45,53.66,55.86,7.0,14.76,0,0
68,F,2,Artes,Concertado,9.58,10.76,1.78,44.18158106957379,22.11485668653922,24.40140239101794,47.1007624743622,19.47,2.99,17.72,37.2,53.64,Alto,3000,Credito,Bajo,2.888412388666067,0,0,Puntual,100.0,42.85,7.1,51.91,7.0,0.0,0,1
69,M,7,Ingenieria,Publico,13.01,12.86,4.06,50.014333174019214,55.02276194342311,18.72284207585464,77.25425212917808,19.95,0.0,85.0,42.1,65.62,Medio,1200,Financiamiento_familiar,Bajo,5.624569172183339,0,0,Puntual,75.91,53.14,0.0,42.23,7.0,37.1,0,1
70,Other,1,Ciencias,Privado,15.6,15.03,6.91,68.8177892047179,19.41990400041803,6.538679541095753,26.986362512056164,14.91,27.97,43.8,45.37,83.68,Bajo,600,Pago_directo,Bajo,12.62104508657331,1,1,Impuntual,15.5,64.46,0.0,37.06,7.0,80.8,0,1
71,F,4,Ciencias,Privado,20.0,20.0,16.92,38.75519898920527,57.24243136000288,43.45285559823011,80.0,17.11,0.0,97.22,73.1,80.34,Muy_bajo,300,Beca_parcial,Bajo,6.840805625687296,1,3,Puntual,15.79,96.39,75.96,14.9,7.0,78.73,0,0
72,M,5,Ciencias_Sociales,Privado,16.34,14.62,15.48,51.65568636545775,36.574993784753296,31.39411763147543,68.81007495890097,19.33,6.51,17.01,42.82,70.84,Muy_bajo,300,Beca_parcial,Muy_bajo,16.226351037137675,1,1,Impuntual,7.98,83.29,81.79,40.17,7.0,54.42,0,0
73,M,3,Artes,Concertado,14.44,15.64,17.03,4.3527062252700155,69.7547917243109,7.043623690730145,79.7778971234332,2.21,15.53,68.79,63.38,92.17,Alto,3000,Credito,Bajo,20.97547340420784,0,0,Puntual,90.32,88.23,90.99,34.25,7.0,53.47,0,0
74,F,1,Ingenieria,Publico,5.85,3.48,2.17,71.56183201649296,43.57875403241975,57.46845179200864,80.0,16.62,31.51,64.53,30.45,45.86,Muy_bajo,300,Pago_directo,Bajo,4.234979659681214,1,1,Impuntual,6.4,29.14,0.0,59.26,5.93,20.3,0,1
75,F,8,Ciencias,Privado,5.35,7.39,0.5,26.17726505653617,14.772231070204498,57.844862640711874,74.50328610486264,19.57,0.0,71.89,48.02,67.68,Medio,1200,Financiamiento_familiar,Bajo,1.2831724480626325,1,1,Impuntual,13.52,52.7,70.43,60.33,7.0,58.68,0,1
76,F,3,Artes,Publico,3.37,5.63,1.98,50.577689947384954,65.76090208742703,18.824966715465948,80.0,0.98,58.9,10.1,36.33,55.24,Bajo,600,Credito,Bajo,24.0,0,0,Puntual,67.22,46.89,84.07,51.14,7.0,19.37,0,0
77,F,4,Ingenieria,Publico,13.51,14.62,16.46,73.28413050505932,62.21428005976182,76.47256864400441,80.0,7.13,68.47,28.86,44.17,76.67,Alto,3000,Financiamiento_familiar,Bajo,11.632983987319722,0,0,Impuntual,77.67,69.69,49.33,41.13,7.0,52.44,0,1
78,M,2,Ciencias_Sociales,Publico,1.39,2.63,2.83,64.84206274917496,6.738254508843031,62.229075103518944,73.09871652321462,7.78,64.85,33.8,40.75,57.84,Bajo,600,Credito,Bajo,3.078446054675687,1,1,Impuntual,16.82,27.16,20.61,71.78,7.0,17.46,0,1
79,M,3,Ingenieria,Publico,14.65,13.98,10.31,51.01630859822925,3.8432554053132506,64.42433944602735,72.14460149517745,20.51,15.14,32.43,37.97,77.02,Bajo,600,Financiamiento_familiar,Bajo,14.904907179001315,0,0,Puntual,68.3,59.74,0.27,39.05,7.0,27.56,0,1
80,M,3,Salud,Privado,9.21,11.1,4.1,56.28862624560682,10.903283316048542,0.29611127714669117,15.355275184105844,18.73,22.61,67.5,42.13,78.08,Medio,1200,Credito,Bajo,19.056558014216524,0,0,Puntual,68.0,50.71,15.82,48.99,7.0,29.64,0,0
81,F,1,Negocios,Concertado,10.88,9.9,0.37,73.6724092771981,67.62520489537006,78.27497753723003,80.0,15.75,34.1,0.48,35.98,48.0,Alto,3000,Pago_directo,Muy_bajo,20.146652985109267,0,0,Puntual,100.0,51.98,36.72,45.84,7.0,0.0,0,1
82,F,1,Salud,Concertado,6.18,6.52,1.52,64.9674544117436,25.63060445771867,79.22355125728305,80.0,19.31,9.19,68.01,47.5,61.7,Alto,3000,Pago_directo,Bajo,14.944698866421088,0,0,Impuntual,88.63,41.44,23.25,64.09,7.0,0.0,0,1
83,M,6,Salud,Concertado,15.45,16.65,12.78,48.78872484297255,40.38011461113303,40.57763859216,80.0,10.88,50.2,47.66,47.76,84.86,Medio,1200,Pago_directo,Bajo,17.09487537285743,1,2,Impuntual,14.91,75.7,44.34,39.33,7.0,29.05,0,0
84,M,2,Ingenieria,Publico,8.76,9.18,3.28,52.696216496770106,48.23731195132956,78.80131450841407,80.0,21.0,0.0,17.3,37.44,55.83,Medio,1200,Financiamiento_familiar,Bajo,12.902464898950829,0,0,Puntual,61.78,53.23,54.53,73.61,7.0,63.64,0,1
85,M,2,Ciencias_Sociales,Publico,8.03,8.0,4.12,11.781473933216953,59.47851455207842,48.97125556384947,80.0,5.62,14.67,22.61,29.85,75.19,Bajo,600,Financiamiento_familiar,Muy_bajo,15.993138279639673,0,0,Puntual,60.35,52.39,42.13,55.95,7.0,68.37,0,1
86,M,3,Ingenieria,Concertado,14.34,12.98,6.79,37.61341438164798,66.39642513596439,10.719069692468572,77.71597009779741,16.91,0.0,9.76,30.41,67.23,Medio,1200,Beca_parcial,Muy_bajo,23.624538832603893,0,0,Puntual,71.02,58.75,12.18,39.32,7.0,26.43,0,1
87,F,5,Negocios,Concertado,15.61,16.39,11.83,24.079811814693315,41.269241041593155,65.13841791632312,80.0,5.8,34.75,40.91,39.11,80.47,Medio,1200,Pago_directo,Bajo,24.0,0,0,Puntual,68.67,64.96,7.62,41.22,7.0,13.3,0,1
88,F,1,Ingenieria,Publico,8.74,10.03,8.45,34.55765075999331,33.26076880322606,44.64679481599361,80.0,0.96,67.38,59.49,46.86,66.68,Bajo,600,Financiamiento_familiar,Bajo,16.34515387038572,1,1,Impuntual,19.38,52.35,36.57,64.18,7.0,4.14,0,1
89,F,4,Artes,Concertado,18.7,19.04,17.0,52.9797498824605,15.675342862209805,27.38318290809901,46.23544558445762,6.82,62.63,53.1,48.69,64.21,Medio,1200,Pago_directo,Bajo,14.78067071949237,0,0,Puntual,68.43,88.26,82.34,38.33,7.0,68.97,0,0
90,M,1,Ciencias_Sociales,Publico,15.19,16.78,7.82,11.932087488140448,48.601628458279805,18.89451002658996,70.60542226985207,11.83,0.0,96.24,46.26,75.41,Bajo,600,Credito,Bajo,8.91365333311102,0,0,Puntual,61.14,78.71,69.04,31.08,7.0,79.59,0,0
91,M,1,Ciencias_Sociales,Publico,9.65,10.15,3.58,1.3900770929005546,43.99016474690892,41.511760506613626,80.0,20.24,0.0,24.6,47.0,56.79,Bajo,600,Pago_directo,Bajo,8.727304408532568,1,6,Impuntual,1.18,49.33,25.23,47.27,7.0,0.0,0,1
92,F,1,Artes,Publico,11.25,12.49,9.65,31.75395225861837,23.29282834763342,55.34004333990324,80.0,12.21,10.05,76.21,48.04,74.75,Medio,1200,Financiamiento_familiar,Bajo,22.87939967346242,0,0,Puntual,60.88,63.19,46.28,34.58,7.0,56.87,0,1
93,F,6,Salud,Publico,9.66,11.82,8.12,25.774745159044574,35.69627839926005,70.1605959439137,80.0,4.3,41.98,72.31,45.47,74.15,Bajo,600,Credito,Bajo,17.15690228239389,1,1,Impuntual,11.65,51.95,18.88,59.66,7.0,79.39,0,1
