id,pps_actual_20,pps_anterior_20,asistencia_teorico_pct,asistencia_laboratorio_pct,asistencia_total_pct,autoeficacia_academica,entregas_tarea_puntual,horas_de_estudio_semana,indice_procrastinacion,alimentacion,actividad_fisica,horas_pantalla_no_academica,horas_sueno,habitos_vida,puntualidad_pago,ingresos_mensual,deuda_academica,tipo_financiamiento,costo_servicio_mensual,indice_financiero,horas_deporte,horas_cultura,horas_extracurriculares,horas_trabajo_semana,estres,apoyo_social,rendimiento,riesgo_de_desercion,bienestar_estudiantil
17,En_proceso,En_proceso,Alta,Alta,Alta,Baja,Critico,Limitado,Frecuente,Inadecuada,Constante,Alto,Adecuado,Deficiente,Puntual,Medio,Con_deuda,Beca_Total,Bajo,Vulnerable,Constante,Constante,Alta,Parcial_baja,Moderado,Moderado,Inicio,Medio,Regular
18,Inicio,Inicio,Media,Excelente,Alta,Baja,Critico,Insuficiente,Ocasional,Adecuada,Baja,Bajo,Deficiente,Bueno,Puntual,Bajo,Con_deuda,Beca_Parcial,Bajo,Vulnerable,Ocasional,Nula,Baja,Parcial_baja,Bajo,Bueno,Inicio,Bajo,Excelente
19,Inicio,Inicio,Excelente,Excelente,Excelente,Alta,Critico,Limitado,Constante,Adecuada,Baja,Moderado,Adecuado,Excelente,Puntual,Medio,Sin_deuda,Financiamiento_Familiar,Bajo,Sostenible,Ocasional,Ocasional,Baja,Parcial_alta,Alto,Moderado,En_proceso,Alto,Regular
20,Previsto,Destacado,Alta,Alta,Alta,Excelente,Moderado,Adecuado,Ocasional,Inadecuada,Constante,Moderado,Excesivo,Deficiente,Impuntual,Medio,Sin_deuda,Credito,Bajo,Estable,Constante,Constante,Alta,Ninguna,Muy_alto,Bueno,Previsto,Bajo,Critico
21,Destacado,Destacado,Alta,Excelente,Excelente,Alta,Ejemplar,Intensivo,Minimo,Inadecuada,Baja,Bajo,Deficiente,Deficiente,Puntual,Muy_Bajo,Sin_deuda,Pago_Directo,Bajo,Estable,Ocasional,Nula,Baja,Parcial_baja,Muy_alto,Bueno,Destacado,Bajo,Critico
22,Inicio,Inicio,Alta,Media,Media,Baja,Moderado,Insuficiente,Constante,Moderada,Frecuente,Moderado,Regular,Regular,Puntual,Muy_Bajo,Con_deuda,Financiamiento_Familiar,Muy_Bajo,Vulnerable,Frecuente,Ocasional,Media,Parcial_alta,Muy_alto,Bueno,Inicio,Alto,Critico
23,En_proceso,Previsto,Baja,Baja,Baja,Media,Critico,Limitado,Constante,Inadecuada,Nula,Bajo,Excesivo,Regular,Puntual,Medio,Sin_deuda,Financiamiento_Familiar,Bajo,Sostenible,Nula,Constante,Media,Parcial_alta,Moderado,Bueno,Inicio,Alto,Regular
24,Previsto,Previsto,Excelente,Alta,Excelente,Alta,Consistente,Limitado,Minimo,Adecuada,Baja,Bajo,Excesivo,Excelente,Puntual,Bajo,Sin_deuda,Financiamiento_Familiar,Bajo,Sostenible,Ocasional,Nula,Baja,Ninguna,Muy_alto,Excelente,Previsto,Bajo,Regular
25,Inicio,Inicio,Excelente,Excelente,Excelente,Media,Critico,Insuficiente,Constante,Moderada,Baja,Alto,Excesivo,Deficiente,Puntual,Bajo,Sin_deuda,Pago_Directo,Bajo,Estable,Ocasional,Frecuente,Media,Parcial_alta,Moderado,Excelente,En_proceso,Medio,Regular
26,Inicio,Inicio,Media,Baja,Baja,Baja,Critico,Insuficiente,Constante,Inadecuada,Baja,Moderado,Regular,Deficiente,Puntual,Bajo,Con_deuda,Financiamiento_Familiar,Bajo,Vulnerable,Ocasional,Nula,Baja,Parcial_alta,Alto,Insuficiente,Inicio,Alto,Critico
27,Destacado,Previsto,Excelente,Alta,Excelente,Alta,Moderado,Limitado,Minimo,Adecuada,Nula,Bajo,Adecuado,Excelente,Impuntual,Bajo,Sin_deuda,Credito,Muy_Bajo,Vulnerable,Nula,Frecuente,Baja,Ninguna,Muy_alto,Bueno,Destacado,Bajo,Regular
28,Previsto,Previsto,Excelente,Baja,Media,Media,Ejemplar,Adecuado,Frecuente,Moderada,Baja,Bajo,Adecuado,Excelente,Impuntual,Alto,Sin_deuda,Pago_Directo,Bajo,Sostenible,Ocasional,Ocasional,Baja,Parcial_alta,Bajo,Moderado,Previsto,Alto,Excelente
29,Previsto,Previsto,Excelente,Media,Alta,Alta,Ejemplar,Intensivo,Frecuente,Adecuada,Constante,Bajo,Deficiente,Bueno,Impuntual,Muy_Bajo,Sin_deuda,Credito,Bajo,Vulnerable,Constante,Frecuente,Alta,Parcial_alta,Bajo,Moderado,Destacado,Bajo,Excelente
30,Destacado,Destacado,Excelente,Alta,Excelente,Excelente,Ejemplar,Intensivo,Minimo,Moderada,Nula,Bajo,Adecuado,Excelente,Puntual,Bajo,Con_deuda,Beca_Parcial,Muy_Bajo,Riesgo_moderado,Nula,Ocasional,Baja,Ninguna,Alto,Bueno,Destacado,Bajo,Regular
31,Previsto,Previsto,Baja,Media,Baja,Alta,Consistente,Intensivo,Frecuente,Moderada,Nula,Alto,Adecuado,Regular,Puntual,Bajo,Sin_deuda,Financiamiento_Familiar,Bajo,Estable,Nula,Ocasional,Baja,Parcial_alta,Muy_alto,Moderado,Previsto,Alto,Critico
32,Inicio,En_proceso,Media,Media,Baja,Baja,Moderado,Insuficiente,Constante,Moderada,Nula,Alto,Excesivo,Deficiente,Puntual,Medio,Sin_deuda,Beca_Parcial,Muy_Bajo,Sostenible,Nula,Frecuente,Baja,Parcial_alta,Muy_alto,Excelente,Inicio,Alto,Critico
33,Previsto,Previsto,Media,Baja,Baja,Alta,Ejemplar,Adecuado,Minimo,Moderada,Frecuente,Alto,Deficiente,Deficiente,Puntual,Medio,Sin_deuda,Pago_Directo,Bajo,Sostenible,Frecuente,Nula,Baja,Tiempo_completo,Moderado,Insuficiente,Previsto,Alto,Critico
34,Previsto,Destacado,Baja,Excelente,Media,Alta,Ejemplar,Adecuado,Minimo,Inadecuada,Constante,Alto,Regular,Deficiente,Impuntual,Alto,Con_deuda,Financiamiento_Familiar,Bajo,Riesgo_moderado,Constante,Constante,Alta,Parcial_alta,Alto,Moderado,Previsto,Bajo,Critico
35,En_proceso,En_proceso,Media,Alta,Media,Baja,Critico,Limitado,Constante,Adecuada,Nula,Alto,Adecuado,Bueno,Impuntual,Medio,Con_deuda,Pago_Directo,Bajo,Vulnerable,Nula,Constante,Media,Parcial_baja,Bajo,Insuficiente,Inicio,Medio,Regular
36,Destacado,Destacado,Media,Baja,Baja,Excelente,Moderado,Intensivo,Minimo,Inadecuada,Constante,Bajo,Adecuado,Bueno,Puntual,Bajo,Sin_deuda,Credito,Bajo,Estable,Constante,Frecuente,Alta,Ninguna,Moderado,Excelente,Previsto,Bajo,Excelente
37,Previsto,Previsto,Media,Baja,Baja,Excelente,Consistente,Adecuado,Frecuente,Moderada,Frecuente,Moderado,Adecuado,Bueno,Puntual,Muy_Bajo,Sin_deuda,Pago_Directo,Bajo,Estable,Frecuente,Ocasional,Media,Tiempo_completo,Muy_alto,Excelente,Previsto,Medio,Regular
38,Previsto,En_proceso,Media,Baja,Baja,Excelente,Consistente,Adecuado,Ocasional,Inadecuada,Frecuente,Alto,Deficiente,Deficiente,Impuntual,Bajo,Sin_deuda,Beca_Parcial,Bajo,Riesgo_moderado,Frecuente,Constante,Alta,Tiempo_completo,Moderado,Bueno,Previsto,Bajo,Regular
39,Inicio,Inicio,Baja,Alta,Baja,Baja,Moderado,Insuficiente,Constante,Adecuada,Baja,Bajo,Deficiente,Bueno,Puntual,Medio,Con_deuda,Beca_Total,Muy_Bajo,Riesgo_moderado,Ocasional,Frecuente,Media,Ninguna,Bajo,Bueno,Inicio,Bajo,Excelente
40,Destacado,Destacado,Baja,Alta,Baja,Excelente,Consistente,Intensivo,Minimo,Moderada,Baja,Alto,Adecuado,Regular,Puntual,Medio,Sin_deuda,Beca_Total,Bajo,Sostenible,Ocasional,Ocasional,Baja,Ninguna,Alto,Insuficiente,Destacado,Bajo,Critico
41,Destacado,Destacado,Media,Excelente,Alta,Alta,Consistente,Intensivo,Minimo,Adecuada,Constante,Alto,Excesivo,Regular,Impuntual,Alto,Sin_deuda,Financiamiento_Familiar,Bajo,Sostenible,Constante,Constante,Alta,Parcial_alta,Bajo,Moderado,Destacado,Bajo,Excelente
42,En_proceso,En_proceso,Excelente,Excelente,Excelente,Media,Critico,Limitado,Constante,Moderada,Constante,Alto,Excesivo,Deficiente,Puntual,Medio,Con_deuda,Beca_Parcial,Muy_Bajo,Riesgo_moderado,Constante,Frecuente,Alta,Parcial_alta,Moderado,Bueno,En_proceso,Medio,Regular
43,Previsto,Previsto,Excelente,Alta,Excelente,Baja,Ejemplar,Limitado,Minimo,Adecuada,Frecuente,Moderado,Adecuado,Excelente,Puntual,Bajo,Con_deuda,Financiamiento_Familiar,Muy_Bajo,Vulnerable,Frecuente,Nula,Baja,Ninguna,Bajo,Insuficiente,Previsto,Bajo,Regular
44,Inicio,En_proceso,Media,Alta,Media,Baja,Critico,Insuficiente,Constante,Moderada,Frecuente,Bajo,Excesivo,Bueno,Puntual,Muy_Bajo,Sin_deuda,Credito,Bajo,Estable,Frecuente,Nula,Baja,Parcial_alta,Moderado,Excelente,Inicio,Alto,Excelente
45,Inicio,Inicio,Alta,Alta,Alta,Media,Consistente,Insuficiente,Frecuente,Moderada,Nula,Alto,Regular,Deficiente,Puntual,Muy_Bajo,Sin_deuda,Credito,Bajo,Estable,Nula,Constante,Media,Parcial_baja,Alto,Moderado,En_proceso,Alto,Critico
46,Destacado,Destacado,Excelente,Media,Alta,Excelente,Ejemplar,Adecuado,Ocasional,Moderada,Constante,Moderado,Adecuado,Bueno,Puntual,Muy_Bajo,Sin_deuda,Financiamiento_Familiar,Muy_Bajo,Estable,Constante,Ocasional,Media,Parcial_baja,Muy_alto,Bueno,Destacado,Bajo,Regular
47,Inicio,En_proceso,Alta,Excelente,Excelente,Baja,Moderado,Insuficiente,Frecuente,Inadecuada,Frecuente,Alto,Deficiente,Deficiente,Impuntual,Muy_Bajo,Sin_deuda,Beca_Parcial,Bajo,Riesgo_moderado,Frecuente,Frecuente,Media,Parcial_baja,Muy_alto,Moderado,En_proceso,Alto,Critico
48,Destacado,Destacado,Excelente,Baja,Media,Excelente,Ejemplar,Intensivo,Ocasional,Moderada,Baja,Alto,Excesivo,Deficiente,Puntual,Bajo,Sin_deuda,Pago_Directo,Bajo,Sostenible,Ocasional,Nula,Baja,Parcial_alta,Bajo,Excelente,Destacado,Bajo,Regular
49,Destacado,Destacado,Excelente,Media,Alta,Excelente,Ejemplar,Intensivo,Minimo,Adecuada,Constante,Alto,Adecuado,Bueno,Puntual,Bajo,Sin_deuda,Financiamiento_Familiar,Bajo,Estable,Constante,Frecuente,Alta,Tiempo_completo,Alto,Insuficiente,Destacado,Medio,Regular
50,En_proceso,En_proceso,Baja,Excelente,Media,Media,Critico,Limitado,Frecuente,Adecuada,Nula,Alto,Regular,Regular,Puntual,Medio,Con_deuda,Pago_Directo,Muy_Bajo,Riesgo_moderado,Nula,Nula,Baja,Parcial_alta,Bajo,Insuficiente,Inicio,Medio,Critico
51,Previsto,Previsto,Baja,Alta,Baja,Excelente,Moderado,Limitado,Ocasional,Adecuada,Nula,Moderado,Deficiente,Regular,Puntual,Bajo,Sin_deuda,Credito,Bajo,Estable,Nula,Nula,Baja,Parcial_baja,Muy_alto,Excelente,Previsto,Bajo,Critico
52,Previsto,En_proceso,Alta,Media,Media,Alta,Consistente,Limitado,Ocasional,Inadecuada,Constante,Moderado,Regular,Deficiente,Impuntual,Bajo,Sin_deuda,Pago_Directo,Bajo,Riesgo_moderado,Constante,Constante,Alta,Tiempo_completo,Muy_alto,Insuficiente,Previsto,Alto,Critico
53,Inicio,Inicio,Alta,Excelente,Excelente,Media,Moderado,Insuficiente,Frecuente,Moderada,Frecuente,Alto,Deficiente,Deficiente,Puntual,Bajo,Con_deuda,Financiamiento_Familiar,Muy_Bajo,Vulnerable,Frecuente,Constante,Alta,Ninguna,Moderado,Bueno,En_proceso,Bajo,Regular
54,Inicio,Inicio,Media,Alta,Media,Baja,Critico,Insuficiente,Constante,Inadecuada,Frecuente,Alto,Regular,Deficiente,Impuntual,Bajo,Sin_deuda,Pago_Directo,Bajo,Riesgo_moderado,Frecuente,Frecuente,Media,Tiempo_completo,Bajo,Moderado,Inicio,Alto,Regular
55,Destacado,Previsto,Excelente,Media,Alta,Baja,Critico,Limitado,Frecuente,Adecuada,Frecuente,Bajo,Excesivo,Excelente,Impuntual,Alto,Sin_deuda,Beca_Total,Muy_Bajo,Sostenible,Frecuente,Nula,Baja,Tiempo_completo,Muy_alto,Bueno,En_proceso,Alto,Regular
56,Destacado,Destacado,Excelente,Alta,Excelente,Excelente,Consistente,Intensivo,Minimo,Adecuada,Nula,Alto,Deficiente,Deficiente,Puntual,Muy_Bajo,Con_deuda,Pago_Directo,Bajo,Vulnerable,Nula,Ocasional,Baja,Parcial_baja,Alto,Bueno,Destacado,Bajo,Critico
57,Previsto,Previsto,Media,Baja,Baja,Alta,Consistente,Intensivo,Ocasional,Adecuada,Baja,Bajo,Adecuado,Excelente,Puntual,Alto,Sin_deuda,Pago_Directo,Bajo,Sostenible,Ocasional,Ocasional,Baja,Ninguna,Alto,Bueno,Previsto,Bajo,Regular
58,Previsto,Destacado,Excelente,Baja,Media,Alta,Moderado,Intensivo,Frecuente,Inadecuada,Frecuente,Bajo,Deficiente,Deficiente,Impuntual,Bajo,Sin_deuda,Beca_Total,Bajo,Riesgo_moderado,Frecuente,Frecuente,Media,Tiempo_completo,Alto,Insuficiente,Previsto,Alto,Critico
59,Previsto,Previsto,Excelente,Excelente,Excelente,Alta,Consistente,Adecuado,Minimo,Inadecuada,Nula,Alto,Excesivo,Deficiente,Puntual,Bajo,Con_deuda,Financiamiento_Familiar,Bajo,Vulnerable,Nula,Constante,Media,Parcial_alta,Bajo,Excelente,Destacado,Bajo,Excelente
60,Destacado,Destacado,Media,Alta,Media,Alta,Ejemplar,Intensivo,Minimo,Moderada,Baja,Alto,Adecuado,Regular,Puntual,Muy_Bajo,Sin_deuda,Pago_Directo,Bajo,Sostenible,Ocasional,Frecuente,Media,Ninguna,Moderado,Moderado,Destacado,Bajo,Regular
61,Previsto,Previsto,Baja,Excelente,Media,Media,Consistente,Adecuado,Ocasional,Adecuada,Frecuente,Alto,Deficiente,Deficiente,Impuntual,Muy_Bajo,Sin_deuda,Financiamiento_Familiar,Muy_Bajo,Vulnerable,Frecuente,Constante,Alta,Tiempo_completo,Bajo,Bueno,Previsto,Bajo,Excelente
62,Previsto,Previsto,Excelente,Excelente,Excelente,Media,Critico,Insuficiente,Ocasional,Inadecuada,Constante,Moderado,Excesivo,Deficiente,Puntual,Bajo,Sin_deuda,Beca_Total,Bajo,Sostenible,Constante,Ocasional,Media,Parcial_baja,Bajo,Moderado,En_proceso,Medio,Regular
63,Previsto,Previsto,Baja,Media,Baja,Excelente,Ejemplar,Adecuado,Ocasional,Moderada,Nula,Moderado,Excesivo,Regular,Puntual,Medio,Sin_deuda,Financiamiento_Familiar,Bajo,Estable,Nula,Frecuente,Baja,Parcial_baja,Alto,Excelente,Previsto,Bajo,Regular
64,Destacado,Destacado,Media,Excelente,Alta,Excelente,Moderado,Intensivo,Ocasional,Moderada,Baja,Moderado,Excesivo,Regular,Puntual,Bajo,Con_deuda,Beca_Total,Bajo,Vulnerable,Ocasional,Nula,Baja,Parcial_alta,Muy_alto,Excelente,Destacado,Bajo,Critico
65,Inicio,Inicio,Baja,Excelente,Media,Baja,Critico,Insuficiente,Constante,Inadecuada,Constante,Bajo,Deficiente,Deficiente,Impuntual,Bajo,Sin_deuda,Pago_Directo,Muy_Bajo,Riesgo_moderado,Constante,Ocasional,Media,Parcial_alta,Moderado,Moderado,Inicio,Alto,Critico
66,Inicio,Inicio,Excelente,Media,Alta,Media,Critico,Limitado,Constante,Moderada,Nula,Moderado,Regular,Regular,Impuntual,Bajo,Sin_deuda,Beca_Total,Bajo,Riesgo_moderado,Nula,Ocasional,Baja,Parcial_baja,Moderado,Excelente,Inicio,Bajo,Regular
67,En_proceso,Previsto,Baja,Alta,Baja,Alta,Moderado,Limitado,Minimo,Adecuada,Constante,Bajo,Excesivo,Excelente,Impuntual,Bajo,Con_deuda,Beca_Parcial,Muy_Bajo,Vulnerable,Constante,Frecuente,Alta,Ninguna,Alto,Moderado,En_proceso,Bajo,Excelente
68,En_proceso,En_proceso,Baja,Media,Baja,Alta,Critico,Insuficiente,Constante,Inadecuada,Nula,Moderado,Excesivo,Deficiente,Puntual,Alto,Con_deuda,Credito,Bajo,Sostenible,Nula,Ocasional,Baja,Parcial_alta,Muy_alto,Excelente,Inicio,Alto,Critico
69,En_proceso,En_proceso,Alta,Baja,Baja,Media,Consistente,Insuficiente,Constante,Adecuada,Constante,Alto,Excesivo,Regular,Puntual,Medio,Sin_deuda,Financiamiento_Familiar,Bajo,Estable,Constante,Nula,Media,Parcial_alta,Bajo,Insuficiente,En_proceso,Alto,Regular
70,En_proceso,En_proceso,Baja,Baja,Baja,Baja,Moderado,Limitado,Constante,Inadecuada,Baja,Moderado,Adecuado,Regular,Puntual,Bajo,Sin_deuda,Pago_Directo,Bajo,Estable,Ocasional,Nula,Baja,Tiempo_completo,Muy_alto,Moderado,Inicio,Alto,Critico
71,Destacado,Destacado,Baja,Alta,Baja,Excelente,Consistente,Intensivo,Minimo,Adecuada,Constante,Bajo,Adecuado,Excelente,Puntual,Muy_Bajo,Sin_deuda,Beca_Parcial,Bajo,Estable,Constante,Nula,Media,Parcial_baja,Muy_alto,Moderado,Destacado,Bajo,Regular
72,Destacado,Destacado,Baja,Media,Baja,Excelente,Consistente,Intensivo,Minimo,Moderada,Nula,Alto,Excesivo,Deficiente,Puntual,Muy_Bajo,Sin_deuda,Beca_Parcial,Muy_Bajo,Estable,Nula,Frecuente,Baja,Parcial_alta,Moderado,Excelente,Destacado,Bajo,Regular
73,Destacado,Destacado,Alta,Baja,Baja,Excelente,Ejemplar,Intensivo,Minimo,Adecuada,Frecuente,Bajo,Deficiente,Bueno,Impuntual,Alto,Sin_deuda,Credito,Bajo,Sostenible,Frecuente,Frecuente,Media,Ninguna,Moderado,Insuficiente,Destacado,Bajo,Regular
74,Inicio,Inicio,Baja,Alta,Baja,Baja,Critico,Insuficiente,Frecuente,Moderada,Frecuente,Alto,Adecuado,Regular,Puntual,Muy_Bajo,Con_deuda,Pago_Directo,Bajo,Vulnerable,Frecuente,Frecuente,Media,Tiempo_completo,Bajo,Moderado,Inicio,Medio,Regular
75,Inicio,Inicio,Media,Alta,Media,Baja,Critico,Insuficiente,Constante,Inadecuada,Frecuente,Bajo,Excesivo,Regular,Puntual,Medio,Con_deuda,Financiamiento_Familiar,Bajo,Riesgo_moderado,Frecuente,Frecuente,Media,Parcial_baja,Alto,Bueno,Inicio,Alto,Regular
76,Inicio,Inicio,Excelente,Baja,Media,Baja,Consistente,Insuficiente,Frecuente,Adecuada,Nula,Moderado,Deficiente,Regular,Impuntual,Bajo,Sin_deuda,Credito,Bajo,Estable,Nula,Ocasional,Baja,Parcial_alta,Muy_alto,Insuficiente,Inicio,Alto,Critico
77,Destacado,Destacado,Baja,Excelente,Media,Excelente,Consistente,Intensivo,Minimo,Adecuada,Baja,Alto,Regular,Regular,Puntual,Alto,Con_deuda,Financiamiento_Familiar,Bajo,Sostenible,Ocasional,Constante,Media,Tiempo_completo,Moderado,Insuficiente,Destacado,Medio,Critico
78,Inicio,Inicio,Excelente,Excelente,Excelente,Baja,Critico,Insuficiente,Constante,Inadecuada,Baja,Bajo,Regular,Regular,Puntual,Bajo,Sin_deuda,Credito,Bajo,Estable,Ocasional,Constante,Media,Tiempo_completo,Muy_alto,Excelente,Inicio,Alto,Regular
79,Previsto,Previsto,Excelente,Excelente,Excelente,Media,Consistente,Adecuado,Ocasional,Inadecuada,Baja,Alto,Excesivo,Deficiente,Puntual,Bajo,Sin_deuda,Financiamiento_Familiar,Bajo,Estable,Ocasional,Ocasional,Baja,Parcial_alta,Bajo,Excelente,Previsto,Bajo,Regular
80,Inicio,En_proceso,Excelente,Baja,Media,Alta,Critico,Insuficiente,Constante,Inadecuada,Frecuente,Moderado,Excesivo,Deficiente,Impuntual,Medio,Sin_deuda,Credito,Bajo,Riesgo_moderado,Frecuente,Ocasional,Media,Parcial_alta,Muy_alto,Excelente,Inicio,Medio,Critico
81,En_proceso,En_proceso,Media,Excelente,Alta,Media,Critico,Insuficiente,Frecuente,Adecuada,Nula,Bajo,Adecuado,Excelente,Impuntual,Alto,Sin_deuda,Pago_Directo,Muy_Bajo,Sostenible,Nula,Nula,Baja,Tiempo_completo,Muy_alto,Bueno,En_proceso,Alto,Regular
82,Inicio,Inicio,Media,Excelente,Alta,Baja,Critico,Insuficiente,Constante,Inadecuada,Frecuente,Bajo,Excesivo,Regular,Puntual,Alto,Con_deuda,Pago_Directo,Bajo,Sostenible,Frecuente,Frecuente,Media,Tiempo_completo,Alto,Insuficiente,Inicio,Alto,Critico
83,Previsto,Previsto,Alta,Media,Media,Excelente,Ejemplar,Adecuado,Frecuente,Moderada,Frecuente,Moderado,Regular,Regular,Puntual,Medio,Con_deuda,Pago_Directo,Bajo,Riesgo_moderado,Frecuente,Frecuente,Media,Parcial_alta,Bajo,Excelente,Destacado,Bajo,Excelente
84,En_proceso,En_proceso,Baja,Excelente,Media,Baja,Critico,Insuficiente,Constante,Moderada,Nula,Bajo,Excesivo,Bueno,Puntual,Medio,Sin_deuda,Financiamiento_Familiar,Bajo,Sostenible,Nula,Constante,Media,Parcial_alta,Muy_alto,Insuficiente,Inicio,Alto,Critico
85,En_proceso,En_proceso,Alta,Alta,Alta,Media,Consistente,Insuficiente,Ocasional,Adecuada,Nula,Alto,Deficiente,Deficiente,Puntual,Bajo,Sin_deuda,Financiamiento_Familiar,Muy_Bajo,Estable,Nula,Frecuente,Baja,Ninguna,Alto,Moderado,En_proceso,Medio,Critico
