id,pps_actual_20,pps_anterior_20,asistencia_teorico_pct,asistencia_laboratorio_pct,asistencia_total_pct,autoeficacia_academica,entregas_tarea_puntual,horas_de_estudio_semana,indice_procrastinacion,alimentacion,actividad_fisica,horas_pantalla_no_academica,horas_sueno,habitos_vida,puntualidad_pago,ingresos_mensual,deuda_academica,tipo_financiamiento,costo_servicio_mensual,indice_financiero,horas_deporte,horas_cultura,horas_extracurriculares,horas_trabajo_semana,estres,apoyo_social,rendimiento,riesgo_de_desercion,bienestar_estudiantil
23,Destacado,Destacado,Baja,Baja,Alta,Excelente,Consistente,Adecuado,Mínimo,Inadecuada,Baja,Moderado,Adecuado,Excelente,Puntual,Medio,Sin deuda,Financiamiento Familiar,Bajo,Vulnerable,Constante,Frecuente,Media,Tiempo completo,Bajo,Insuficiente,Inicio,Medio,Crítico
24,Inicio,Inicio,Baja,Baja,Baja,Alta,Crítico,Insuficiente,Frecuente,Adecuada,Baja,Alto,Adecuado,Bueno,Puntual,Bajo,Sin deuda,Financiamiento Familiar,Bajo,Riesgo moderado,Frecuente,Ocasional,Baja,Ninguna,Muy alto,Bueno,En proceso,Alto,Crítico
25,En proceso,En proceso,Baja,Baja,Excelente,Baja,Moderado,Insuficiente,Ocasional,Moderada,Baja,Alto,Excesivo,Excelente,Impuntual,Bajo,Con deuda,Pago Directo,Bajo,Estable,Frecuente,Frecuente,Media,Parcial alta,Moderado,Insuficiente,En proceso,Alto,Crítico
26,Previsto,Previsto,Baja,Baja,Media,Media,Moderado,Adecuado,Mínimo,Moderada,Frecuente,Alto,Adecuado,Excelente,Impuntual,Bajo,Con deuda,Financiamiento Familiar,Bajo,Vulnerable,Nula,Frecuente,Media,Tiempo completo,Muy alto,Insuficiente,En proceso,Medio,Crítico
27,Inicio,Inicio,Baja,Baja,Baja,Baja,Moderado,Insuficiente,Ocasional,Adecuada,Baja,Alto,Regular,Bueno,Impuntual,Bajo,Sin deuda,Credito,Muy Bajo,Estable,Constante,Constante,Baja,Tiempo completo,Moderado,Bueno,Previsto,Bajo,Regular
28,Previsto,Previsto,Baja,Baja,Alta,Baja,Crítico,Adecuado,Ocasional,Inadecuada,Nula,Alto,Adecuado,Bueno,Impuntual,Alto,Sin deuda,Pago Directo,Bajo,Riesgo moderado,Ocasional,Constante,Media,Parcial baja,Moderado,Moderado,Inicio,Alto,Excelente
29,En proceso,En proceso,Baja,Baja,Media,Baja,Moderado,Limitado,Ocasional,Moderada,Nula,Bajo,Regular,Excelente,Impuntual,Muy Bajo,Con deuda,Credito,Bajo,Estable,Nula,Nula,Baja,Parcial baja,Muy alto,Bueno,En proceso,Medio,Regular
30,En proceso,En proceso,Baja,Media,Baja,Excelente,Consistente,Limitado,Mínimo,Inadecuada,Frecuente,Alto,Adecuado,Bueno,Puntual,Bajo,Sin deuda,Beca Parcial,Muy Bajo,Vulnerable,Frecuente,Frecuente,Baja,Ninguna,Muy alto,Bueno,Destacado,Bajo,Excelente
31,En proceso,Inicio,Baja,Baja,Media,Media,Crítico,Limitado,Ocasional,Adecuada,Baja,Moderado,Adecuado,Excelente,Puntual,Bajo,Con deuda,Financiamiento Familiar,Bajo,Riesgo moderado,Frecuente,Frecuente,Media,Ninguna,Moderado,Excelente,En proceso,Alto,Excelente
32,Inicio,Inicio,Baja,Baja,Media,Media,Moderado,Insuficiente,Ocasional,Moderada,Baja,Moderado,Adecuado,Excelente,Puntual,Medio,Sin deuda,Beca Parcial,Muy Bajo,Vulnerable,Nula,Frecuente,Baja,Ninguna,Moderado,Insuficiente,Destacado,Medio,Crítico
33,Previsto,Destacado,Baja,Media,Baja,Excelente,Moderado,Limitado,Mínimo,Moderada,Frecuente,Moderado,Adecuado,Excelente,Puntual,Medio,Sin deuda,Pago Directo,Bajo,Sostenible,Frecuente,Ocasional,Baja,Parcial baja,Bajo,Excelente,En proceso,Alto,Excelente
34,Destacado,Previsto,Baja,Baja,Alta,Alta,Moderado,Adecuado,Mínimo,Adecuada,Baja,Bajo,Adecuado,Excelente,Puntual,Alto,Sin deuda,Financiamiento Familiar,Bajo,Estable,Nula,Frecuente,Media,Ninguna,Muy alto,Moderado,En proceso,Bajo,Excelente
35,Inicio,Inicio,Baja,Baja,Baja,Alta,Moderado,Insuficiente,Ocasional,Moderada,Nula,Moderado,Adecuado,Excelente,Puntual,Medio,Sin deuda,Pago Directo,Bajo,Riesgo moderado,Frecuente,Frecuente,Media,Parcial alta,Moderado,Insuficiente,Inicio,Bajo,Crítico
36,Previsto,Previsto,Baja,Media,Media,Baja,Consistente,Adecuado,Mínimo,Inadecuada,Baja,Alto,Adecuado,Excelente,Impuntual,Bajo,Con deuda,Credito,Bajo,Riesgo moderado,Frecuente,Constante,Baja,Tiempo completo,Moderado,Excelente,En proceso,Medio,Regular
37,Inicio,Inicio,Baja,Media,Baja,Baja,Moderado,Limitado,Ocasional,Inadecuada,Nula,Moderado,Adecuado,Excelente,Puntual,Muy Bajo,Con deuda,Pago Directo,Bajo,Vulnerable,Nula,Frecuente,Alta,Tiempo completo,Alto,Excelente,Inicio,Alto,Excelente
38,Destacado,Destacado,Baja,Media,Baja,Excelente,Ejemplar,Adecuado,Mínimo,Adecuada,Nula,Moderado,Adecuado,Excelente,Puntual,Bajo,Sin deuda,Beca Parcial,Bajo,Vulnerable,Nula,Ocasional,Media,Ninguna,Bajo,Excelente,En proceso,Bajo,Regular
39,Inicio,Inicio,Baja,Baja,Baja,Alta,Crítico,Limitado,Frecuente,Adecuada,Baja,Moderado,Excesivo,Excelente,Impuntual,Medio,Sin deuda,Beca Total,Muy Bajo,Estable,Ocasional,Frecuente,Alta,Parcial alta,Bajo,Bueno,Previsto,Alto,Excelente
40,Destacado,Previsto,Baja,Baja,Baja,Media,Ejemplar,Adecuado,Mínimo,Inadecuada,Nula,Moderado,Excesivo,Excelente,Impuntual,Medio,Sin deuda,Beca Total,Bajo,Sostenible,Constante,Nula,Alta,Parcial alta,Bajo,Moderado,Inicio,Alto,Crítico
41,Previsto,Previsto,Baja,Baja,Excelente,Excelente,Moderado,Adecuado,Ocasional,Adecuada,Baja,Alto,Regular,Bueno,Puntual,Alto,Sin deuda,Financiamiento Familiar,Bajo,Vulnerable,Frecuente,Frecuente,Alta,Ninguna,Muy alto,Moderado,Destacado,Alto,Excelente
42,En proceso,En proceso,Baja,Media,Baja,Media,Moderado,Adecuado,Mínimo,Moderada,Nula,Moderado,Deficiente,Excelente,Impuntual,Medio,Sin deuda,Beca Parcial,Muy Bajo,Sostenible,Frecuente,Ocasional,Media,Parcial baja,Bajo,Insuficiente,Previsto,Alto,Regular
43,Previsto,Previsto,Baja,Media,Media,Excelente,Moderado,Adecuado,Mínimo,Inadecuada,Baja,Bajo,Deficiente,Excelente,Puntual,Bajo,Sin deuda,Financiamiento Familiar,Muy Bajo,Estable,Ocasional,Constante,Alta,Parcial baja,Alto,Moderado,Previsto,Alto,Excelente
44,Previsto,Previsto,Baja,Media,Media,Excelente,Moderado,Adecuado,Ocasional,Adecuada,Frecuente,Moderado,Adecuado,Excelente,Puntual,Muy Bajo,Sin deuda,Credito,Bajo,Estable,Frecuente,Ocasional,Media,Ninguna,Moderado,Excelente,Destacado,Alto,Crítico
45,Previsto,Previsto,Baja,Baja,Baja,Alta,Moderado,Adecuado,Mínimo,Moderada,Nula,Moderado,Adecuado,Excelente,Puntual,Muy Bajo,Con deuda,Credito,Bajo,Riesgo moderado,Frecuente,Constante,Alta,Parcial baja,Muy alto,Insuficiente,Destacado,Alto,Regular
46,Previsto,Previsto,Baja,Baja,Media,Media,Moderado,Limitado,Mínimo,Inadecuada,Baja,Moderado,Excesivo,Excelente,Puntual,Muy Bajo,Con deuda,Financiamiento Familiar,Muy Bajo,Estable,Nula,Frecuente,Media,Tiempo completo,Muy alto,Bueno,En proceso,Medio,Regular
47,Inicio,Inicio,Baja,Baja,Alta,Alta,Crítico,Insuficiente,Frecuente,Adecuada,Nula,Moderado,Excesivo,Excelente,Impuntual,Muy Bajo,Sin deuda,Beca Parcial,Bajo,Sostenible,Constante,Nula,Alta,Tiempo completo,Muy alto,Insuficiente,Inicio,Bajo,Regular
48,Previsto,Previsto,Baja,Media,Alta,Excelente,Consistente,Adecuado,Mínimo,Inadecuada,Frecuente,Bajo,Deficiente,Excelente,Puntual,Bajo,Sin deuda,Pago Directo,Bajo,Vulnerable,Frecuente,Constante,Alta,Parcial alta,Muy alto,Moderado,En proceso,Medio,Excelente
49,En proceso,En proceso,Baja,Media,Baja,Alta,Moderado,Limitado,Mínimo,Inadecuada,Baja,Moderado,Adecuado,Excelente,Impuntual,Bajo,Sin deuda,Financiamiento Familiar,Bajo,Vulnerable,Nula,Ocasional,Alta,Ninguna,Moderado,Bueno,Inicio,Alto,Crítico
50,Previsto,Previsto,Baja,Baja,Media,Excelente,Moderado,Adecuado,Mínimo,Inadecuada,Nula,Moderado,Regular,Excelente,Puntual,Medio,Sin deuda,Pago Directo,Muy Bajo,Vulnerable,Frecuente,Frecuente,Baja,Parcial alta,Muy alto,Bueno,Inicio,Bajo,Crítico
51,Previsto,Previsto,Baja,Baja,Baja,Alta,Moderado,Adecuado,Mínimo,Adecuada,Baja,Bajo,Adecuado,Excelente,Puntual,Bajo,Sin deuda,Credito,Bajo,Estable,Ocasional,Ocasional,Baja,Tiempo completo,Bajo,Bueno,Inicio,Bajo,Crítico
52,Destacado,Destacado,Baja,Baja,Media,Alta,Crítico,Adecuado,Ocasional,Inadecuada,Baja,Moderado,Excesivo,Excelente,Puntual,Bajo,Sin deuda,Pago Directo,Bajo,Vulnerable,Nula,Constante,Alta,Ninguna,Muy alto,Excelente,En proceso,Medio,Regular
53,Inicio,Inicio,Baja,Media,Media,Media,Crítico,Limitado,Ocasional,Adecuada,Constante,Alto,Deficiente,Bueno,Puntual,Bajo,Sin deuda,Financiamiento Familiar,Muy Bajo,Estable,Frecuente,Constante,Baja,Tiempo completo,Bajo,Bueno,Inicio,Bajo,Crítico
54,Previsto,Previsto,Baja,Media,Media,Excelente,Moderado,Adecuado,Ocasional,Moderada,Baja,Moderado,Adecuado,Excelente,Puntual,Bajo,Sin deuda,Pago Directo,Bajo,Estable,Frecuente,Ocasional,Alta,Parcial alta,Moderado,Insuficiente,Inicio,Bajo,Crítico
55,En proceso,En proceso,Baja,Baja,Excelente,Excelente,Moderado,Limitado,Ocasional,Adecuada,Frecuente,Alto,Excesivo,Excelente,Puntual,Alto,Sin deuda,Beca Total,Muy Bajo,Vulnerable,Frecuente,Nula,Alta,Tiempo completo,Alto,Insuficiente,Previsto,Medio,Excelente
56,En proceso,En proceso,Baja,Media,Baja,Baja,Moderado,Limitado,Ocasional,Adecuada,Baja,Moderado,Regular,Excelente,Impuntual,Muy Bajo,Con deuda,Pago Directo,Bajo,Estable,Frecuente,Frecuente,Media,Tiempo completo,Moderado,Excelente,Inicio,Alto,Excelente
57,Previsto,Previsto,Baja,Baja,Baja,Excelente,Consistente,Adecuado,Mínimo,Moderada,Nula,Bajo,Adecuado,Excelente,Puntual,Alto,Sin deuda,Pago Directo,Bajo,Riesgo moderado,Ocasional,Frecuente,Alta,Tiempo completo,Alto,Insuficiente,Inicio,Medio,Regular
58,Previsto,Previsto,Baja,Baja,Alta,Baja,Moderado,Adecuado,Mínimo,Inadecuada,Frecuente,Alto,Regular,Bueno,Puntual,Bajo,Con deuda,Beca Total,Bajo,Riesgo moderado,Frecuente,Constante,Baja,Parcial alta,Moderado,Moderado,En proceso,Alto,Crítico
59,Previsto,En proceso,Baja,Media,Baja,Excelente,Consistente,Adecuado,Mínimo,Adecuada,Baja,Moderado,Regular,Excelente,Impuntual,Bajo,Con deuda,Financiamiento Familiar,Bajo,Estable,Constante,Frecuente,Baja,Parcial baja,Bajo,Bueno,Previsto,Medio,Crítico
60,En proceso,En proceso,Baja,Baja,Baja,Alta,Crítico,Limitado,Ocasional,Moderada,Frecuente,Alto,Adecuado,Bueno,Impuntual,Muy Bajo,Con deuda,Pago Directo,Bajo,Sostenible,Nula,Ocasional,Alta,Ninguna,Alto,Insuficiente,Destacado,Bajo,Excelente
61,En proceso,En proceso,Baja,Baja,Excelente,Media,Moderado,Insuficiente,Ocasional,Moderada,Nula,Alto,Adecuado,Excelente,Puntual,Muy Bajo,Sin deuda,Financiamiento Familiar,Muy Bajo,Sostenible,Ocasional,Nula,Media,Parcial alta,Alto,Bueno,En proceso,Bajo,Crítico
62,Inicio,En proceso,Baja,Baja,Media,Alta,Crítico,Limitado,Frecuente,Inadecuada,Baja,Moderado,Regular,Excelente,Puntual,Bajo,Sin deuda,Beca Total,Bajo,Estable,Constante,Constante,Media,Tiempo completo,Muy alto,Insuficiente,Inicio,Alto,Regular
63,Destacado,Destacado,Baja,Media,Alta,Alta,Consistente,Adecuado,Mínimo,Inadecuada,Baja,Bajo,Adecuado,Excelente,Puntual,Medio,Sin deuda,Financiamiento Familiar,Bajo,Estable,Constante,Frecuente,Baja,Tiempo completo,Alto,Insuficiente,Destacado,Bajo,Regular
64,En proceso,En proceso,Baja,Baja,Baja,Baja,Consistente,Limitado,Mínimo,Moderada,Baja,Moderado,Deficiente,Excelente,Puntual,Bajo,Sin deuda,Beca Total,Bajo,Vulnerable,Constante,Constante,Alta,Parcial baja,Alto,Insuficiente,Previsto,Medio,Regular
65,Destacado,Destacado,Baja,Baja,Baja,Excelente,Consistente,Adecuado,Mínimo,Inadecuada,Nula,Alto,Excesivo,Excelente,Impuntual,Bajo,Sin deuda,Pago Directo,Muy Bajo,Vulnerable,Frecuente,Ocasional,Media,Parcial alta,Alto,Moderado,Inicio,Bajo,Crítico
66,Inicio,Inicio,Baja,Media,Alta,Media,Moderado,Limitado,Frecuente,Inadecuada,Frecuente,Alto,Adecuado,Bueno,Puntual,Bajo,Con deuda,Beca Total,Bajo,Sostenible,Constante,Ocasional,Media,Parcial alta,Moderado,Bueno,En proceso,Alto,Regular
67,Destacado,Destacado,Baja,Baja,Media,Alta,Consistente,Adecuado,Mínimo,Moderada,Baja,Moderado,Adecuado,Excelente,Puntual,Bajo,Con deuda,Beca Parcial,Muy Bajo,Estable,Ocasional,Ocasional,Media,Parcial alta,Muy alto,Bueno,En proceso,Medio,Excelente
68,Previsto,Previsto,Baja,Baja,Excelente,Media,Moderado,Limitado,Mínimo,Adecuada,Nula,Bajo,Regular,Excelente,Puntual,Alto,Sin deuda,Credito,Bajo,Sostenible,Frecuente,Frecuente,Baja,Parcial alta,Alto,Excelente,En proceso,Alto,Excelente
69,En proceso,En proceso,Baja,Media,Excelente,Alta,Moderado,Limitado,Mínimo,Moderada,Baja,Moderado,Adecuado,Excelente,Puntual,Medio,Sin deuda,Financiamiento Familiar,Bajo,Vulnerable,Ocasional,Constante,Media,Tiempo completo,Moderado,Insuficiente,Inicio,Medio,Regular
70,En proceso,En proceso,Baja,Media,Excelente,Media,Moderado,Limitado,Ocasional,Inadecuada,Baja,Bajo,Excesivo,Excelente,Puntual,Bajo,Con deuda,Pago Directo,Bajo,Vulnerable,Ocasional,Frecuente,Baja,Tiempo completo,Bajo,Insuficiente,Previsto,Alto,Regular
71,En proceso,En proceso,Baja,Baja,Excelente,Media,Moderado,Limitado,Ocasional,Adecuada,Baja,Moderado,Excesivo,Excelente,Impuntual,Muy Bajo,Con deuda,Beca Parcial,Bajo,Sostenible,Frecuente,Ocasional,Alta,Ninguna,Muy alto,Insuficiente,Inicio,Alto,Excelente
72,Previsto,Previsto,Baja,Baja,Media,Excelente,Consistente,Limitado,Mínimo,Moderada,Frecuente,Bajo,Excesivo,Excelente,Impuntual,Muy Bajo,Con deuda,Beca Parcial,Muy Bajo,Sostenible,Constante,Constante,Media,Parcial baja,Bajo,Excelente,En proceso,Bajo,Crítico
73,Previsto,Previsto,Baja,Baja,Baja,Alta,Consistente,Adecuado,Ocasional,Moderada,Nula,Alto,Adecuado,Bueno,Puntual,Alto,Sin deuda,Credito,Bajo,Riesgo moderado,Constante,Frecuente,Alta,Parcial alta,Muy alto,Bueno,Destacado,Bajo,Regular
74,Destacado,Destacado,Baja,Baja,Baja,Excelente,Moderado,Adecuado,Mínimo,Inadecuada,Baja,Bajo,Adecuado,Excelente,Puntual,Muy Bajo,Con deuda,Pago Directo,Bajo,Vulnerable,Nula,Ocasional,Baja,Parcial alta,Alto,Excelente,Inicio,Medio,Crítico
75,En proceso,En proceso,Baja,Baja,Alta,Media,Moderado,Adecuado,Ocasional,Adecuada,Baja,Alto,Regular,Bueno,Puntual,Medio,Sin deuda,Financiamiento Familiar,Bajo,Estable,Frecuente,Frecuente,Media,Ninguna,Muy alto,Moderado,En proceso,Bajo,Excelente
76,Previsto,Previsto,Baja,Baja,Excelente,Excelente,Consistente,Adecuado,Mínimo,Moderada,Baja,Bajo,Deficiente,Excelente,Puntual,Bajo,Sin deuda,Credito,Bajo,Estable,Ocasional,Constante,Media,Tiempo completo,Alto,Moderado,Destacado,Bajo,Regular
77,En proceso,En proceso,Baja,Alta,Media,Excelente,Moderado,Limitado,Frecuente,Adecuada,Baja,Moderado,Regular,Excelente,Puntual,Alto,Sin deuda,Financiamiento Familiar,Bajo,Vulnerable,Constante,Frecuente,Media,Parcial baja,Moderado,Excelente,Destacado,Alto,Excelente
78,Inicio,En proceso,Baja,Media,Media,Excelente,Moderado,Limitado,Ocasional,Adecuada,Nula,Moderado,Adecuado,Excelente,Puntual,Bajo,Sin deuda,Credito,Bajo,Estable,Frecuente,Ocasional,Baja,Parcial baja,Bajo,Moderado,En proceso,Alto,Excelente
79,Destacado,Destacado,Baja,Media,Excelente,Baja,Ejemplar,Adecuado,Mínimo,Inadecuada,Baja,Bajo,Adecuado,Excelente,Puntual,Bajo,Sin deuda,Financiamiento Familiar,Bajo,Vulnerable,Constante,Constante,Baja,Ninguna,Moderado,Insuficiente,En proceso,Bajo,Crítico
80,En proceso,En proceso,Baja,Baja,Alta,Excelente,Crítico,Adecuado,Ocasional,Inadecuada,Baja,Alto,Deficiente,Bueno,Puntual,Medio,Sin deuda,Credito,Bajo,Sostenible,Frecuente,Ocasional,Alta,Tiempo completo,Alto,Excelente,Inicio,Alto,Regular
81,Inicio,Inicio,Baja,Baja,Alta,Excelente,Crítico,Limitado,Frecuente,Adecuada,Baja,Bajo,Regular,Excelente,Impuntual,Alto,Con deuda,Pago Directo,Muy Bajo,Vulnerable,Nula,Constante,Media,Ninguna,Muy alto,Excelente,Previsto,Medio,Crítico
82,Destacado,Destacado,Baja,Media,Baja,Alta,Crítico,Adecuado,Mínimo,Adecuada,Nula,Bajo,Excesivo,Excelente,Puntual,Alto,Sin deuda,Pago Directo,Bajo,Riesgo moderado,Constante,Constante,Media,Parcial baja,Bajo,Bueno,Previsto,Bajo,Excelente
83,Previsto,Previsto,Baja,Media,Media,Media,Consistente,Adecuado,Mínimo,Moderada,Baja,Moderado,Regular,Excelente,Puntual,Medio,Sin deuda,Pago Directo,Bajo,Riesgo moderado,Frecuente,Nula,Media,Tiempo completo,Moderado,Bueno,Previsto,Bajo,Excelente
84,En proceso,En proceso,Baja,Baja,Baja,Baja,Consistente,Adecuado,Ocasional,Inadecuada,Frecuente,Moderado,Regular,Bueno,Puntual,Medio,Sin deuda,Financiamiento Familiar,Bajo,Riesgo moderado,Nula,Ocasional,Alta,Parcial baja,Moderado,Insuficiente,En proceso,Bajo,Regular
85,En proceso,Inicio,Baja,Baja,Excelente,Excelente,Moderado,Insuficiente,Ocasional,Moderada,Frecuente,Moderado,Excesivo,Excelente,Puntual,Bajo,Sin deuda,Financiamiento Familiar,Muy Bajo,Sostenible,Nula,Ocasional,Baja,Parcial alta,Alto,Bueno,Inicio,Bajo,Regular
86,Previsto,Previsto,Baja,Baja,Media,Alta,Moderado,Limitado,Mínimo,Moderada,Nula,Alto,Adecuado,Excelente,Puntual,Medio,Con deuda,Beca Parcial,Muy Bajo,Sostenible,Constante,Constante,Media,Parcial alta,Bajo,Moderado,Previsto,Medio,Regular
87,En proceso,En proceso,Baja,Media,Excelente,Excelente,Crítico,Limitado,Frecuente,Adecuada,Baja,Moderado,Excesivo,Excelente,Puntual,Medio,Sin deuda,Pago Directo,Bajo,Estable,Frecuente,Frecuente,Baja,Tiempo completo,Alto,Insuficiente,Destacado,Bajo,Crítico
88,En proceso,Previsto,Baja,Baja,Excelente,Excelente,Ejemplar,Adecuado,Mínimo,Moderada,Baja,Alto,Deficiente,Bueno,Impuntual,Bajo,Con deuda,Financiamiento Familiar,Bajo,Riesgo moderado,Nula,Constante,Alta,Ninguna,Alto,Excelente,Previsto,Alto,Regular
