id,sex,semestre,carrera,tipo_colegio,pps_actual_20,pps_anterior_20,horas_de_estudio_semana,horas_trabajo_semana,horas_deporte,horas_cultura,horas_extracurriculares,horas_sueno,estres,apoyo_social,autoeficacia_academica,entregas_tarea_puntual,ingresos_mensual_cat,tipo_financiamiento,costo_servicio_mensual_cat,horas_pantalla_no_academica,deuda_academica_label,puntualidad_pago_label,indice_financiero,rendimiento,asistencia_total_pct,asistencia_teorico_pct,asistencia_laboratorio_pct,indice_procrastinacion,alimentacion,phc_score,tiene_hijos,riesgo_de_desercion,bienestar_estudiantil,actividad_fisica
16,M,1,Ingenieria,Privado,11.39,10.1,12.91,0.0,43.22,69.2,80.0,4.84,30.44,67.52,55.13,64.27,Alto,Credito,Bajo,2.5,Con deuda,Puntual,77.46,63.46,53.61,41.28,82.38,41.13,1.88,4.72,0,18.270826892417823,87.87358909497539,43.22
17,M,3,Negocios,Publico,10.9,8.41,8.56,56.97,4.03,25.65,30.37,21.81,4.36,15.59,33.66,64.68,Muy_bajo,Pago_directo,Bajo,23.1,Con deuda,Puntual,23.19,51.54,19.04,22.78,10.31,39.31,1.44,8.98,0,72.68286686297965,68.2269145348437,4.03
18,F,6,Ciencias,Concertado,17.95,18.25,15.28,28.53,5.03,14.27,22.67,18.25,0.0,30.25,45.97,79.23,Bajo,Financiamiento_familiar,Bajo,21.37,Con deuda,Puntual,23.39,86.57,69.16,58.39,94.3,29.12,5.87,40.61,0,20.144715040812017,69.58369328255982,5.03
19,M,8,Ciencias_Sociales,Privado,8.59,9.04,6.9,20.36,14.99,19.15,37.12,16.23,0.0,12.61,43.72,54.9,Medio,Beca_total,Bajo,6.49,Sin deuda,Puntual,75.13,52.04,49.85,37.15,79.51,60.86,5.51,0.0,0,35.973546905149654,85.63753793628412,14.99
20,M,1,Ciencias,Publico,4.7,7.06,3.03,1.03,2.6,33.44,37.51,7.22,15.07,7.99,36.71,55.65,Medio,Pago_directo,Bajo,19.75,Sin deuda,Puntual,76.65,38.55,36.86,44.89,18.13,46.94,5.52,0.0,0,30.725106878943865,52.45437356643055,2.6
21,F,4,Ingenieria,Concertado,11.43,10.74,15.06,43.22,59.47,20.1,79.63,4.42,59.2,67.62,62.57,78.88,Medio,Credito,Muy_bajo,12.44,Con deuda,Impuntual,27.61,69.29,58.96,53.72,71.2,50.62,5.3,75.26,1,46.0620758691516,67.23386654193774,59.47
22,M,3,Ciencias,Publico,13.08,12.55,9.88,68.09,57.87,25.65,80.0,18.15,19.83,80.86,65.12,61.38,Muy_bajo,Financiamiento_familiar,Muy_bajo,11.08,Con deuda,Puntual,27.14,61.01,25.8,20.35,38.5,29.4,5.02,56.0,0,58.491711359751264,100.0,57.87
23,M,8,Ciencias_Sociales,Privado,9.97,8.48,3.41,76.61,10.88,10.8,23.64,11.38,51.81,91.27,42.12,59.75,Bajo,Financiamiento_familiar,Bajo,7.55,Sin deuda,Puntual,67.21,49.82,22.97,15.58,40.23,60.38,3.86,56.95,1,75.27444121181281,74.57114172409088,10.88
24,M,6,Ingenieria,Privado,11.76,9.61,12.97,45.26,66.89,23.69,80.0,5.42,61.0,62.83,48.36,81.77,Bajo,Credito,Bajo,13.94,Sin deuda,Impuntual,30.31,75.96,85.13,88.04,78.33,43.54,4.85,31.18,0,36.0591150176209,65.0669553539221,66.89
25,M,6,Salud,Privado,15.12,16.48,9.2,41.16,12.38,45.78,60.05,14.8,16.96,18.41,51.5,66.94,Medio,Beca_total,Muy_bajo,17.52,Sin deuda,Puntual,62.14,74.5,59.24,43.37,96.28,33.53,1.23,72.9,0,19.128514990009233,70.5772871561823,12.38
26,F,3,Ciencias_Sociales,Publico,12.9,11.65,10.88,6.8,24.09,35.35,62.58,0.97,18.69,10.57,54.66,78.44,Bajo,Credito,Muy_bajo,9.86,Sin deuda,Puntual,51.85,65.49,32.65,41.21,12.67,33.41,4.73,54.79,0,17.256389182017955,62.45217443024256,24.09
27,M,3,Ciencias_Sociales,Privado,10.02,10.56,8.3,43.91,19.92,27.74,50.39,7.83,49.67,76.29,49.81,68.32,Muy_bajo,Pago_directo,Bajo,15.1,Sin deuda,Puntual,59.25,50.89,15.11,3.56,42.06,58.46,5.67,72.42,0,73.66638236358389,65.56330825859926,19.92
28,F,2,Ciencias_Sociales,Privado,13.56,14.5,14.92,30.4,29.78,59.72,80.0,11.25,10.71,52.88,58.53,79.14,Alto,Financiamiento_familiar,Bajo,16.78,Con deuda,Puntual,61.39,71.86,49.29,49.8,48.09,43.62,4.0,0.0,1,42.211552590984724,81.64044574729704,29.78
29,F,1,Negocios,Publico,14.87,14.73,14.93,48.57,20.37,71.48,80.0,3.55,62.18,56.83,62.34,79.81,Muy_bajo,Financiamiento_familiar,Bajo,17.07,Sin deuda,Puntual,54.93,75.88,50.08,55.42,37.63,26.29,3.15,91.5,0,36.178354125109685,56.760905042966506,20.37
30,M,6,Artes,Privado,14.99,16.87,12.77,31.1,39.12,60.54,80.0,23.63,0.0,73.15,51.9,70.26,Alto,Financiamiento_familiar,Bajo,1.25,Con deuda,Impuntual,49.45,72.73,50.01,55.88,36.32,38.37,2.66,37.05,0,40.899055361839984,100.0,39.12
31,F,6,Ciencias_Sociales,Publico,6.8,6.52,1.9,19.22,32.59,26.56,63.46,5.02,12.33,70.33,45.93,75.97,Medio,Beca_parcial,Bajo,20.63,Sin deuda,Puntual,66.21,53.35,51.06,70.7,5.23,39.05,4.86,67.39,0,23.32406102850199,68.16836786838803,32.59
32,M,8,Artes,Concertado,15.35,14.27,15.1,7.6,78.93,59.56,80.0,3.13,16.68,78.45,67.78,91.36,Medio,Financiamiento_familiar,Muy_bajo,11.0,Con deuda,Puntual,47.41,76.24,32.99,17.75,68.55,21.17,5.16,0.0,0,11.87904077770861,82.39451103052264,78.93
33,M,8,Negocios,Publico,13.44,15.42,12.08,25.19,4.47,12.16,19.4,4.88,39.27,0.62,47.19,69.22,Bajo,Pago_directo,Bajo,6.3,Sin deuda,Impuntual,33.41,63.31,30.74,25.22,43.62,37.69,6.23,18.1,0,55.0348156006256,53.293755915880226,4.47
34,F,4,Ciencias_Sociales,Publico,19.16,20.0,12.55,7.73,11.37,10.43,23.61,18.46,0.0,74.75,48.76,69.79,Muy_bajo,Beca_parcial,Muy_bajo,5.8,Sin deuda,Impuntual,32.05,85.87,62.59,81.07,19.48,20.86,3.05,24.06,1,7.064594311305505,97.58836639122961,11.37
35,F,5,Salud,Publico,7.85,6.17,6.53,14.15,4.23,27.65,33.7,10.21,24.15,85.09,42.98,47.59,Medio,Credito,Bajo,11.59,Sin deuda,Puntual,75.48,58.52,90.78,94.72,81.6,61.97,5.62,9.09,0,20.741481733219352,78.15636629414803,4.23
36,F,7,Ingenieria,Concertado,16.39,14.02,15.83,78.99,50.07,64.62,80.0,13.57,48.26,28.61,43.38,64.4,Medio,Credito,Muy_bajo,21.28,Con deuda,Puntual,30.61,69.81,33.59,13.59,80.26,40.23,4.37,67.54,0,45.284548694781996,62.91298825656369,50.07
37,M,6,Ciencias_Sociales,Publico,9.88,7.83,13.06,35.53,4.36,19.71,24.26,0.5,51.1,59.04,44.42,71.23,Medio,Financiamiento_familiar,Bajo,9.08,Sin deuda,Puntual,73.46,59.31,49.43,49.76,48.64,54.24,6.3,0.0,0,61.03922568836908,53.715187748766354,4.36
38,M,2,Negocios,Concertado,5.9,4.83,2.03,42.55,66.92,5.06,76.92,0.83,55.43,26.42,41.08,42.53,Muy_bajo,Pago_directo,Bajo,17.99,Con deuda,Puntual,31.33,35.48,23.95,21.42,29.85,64.09,4.17,3.11,0,95.0,47.67293103219573,66.92
39,F,3,Ciencias_Sociales,Publico,6.16,8.52,7.34,69.89,40.96,10.54,54.81,10.7,35.52,95.8,38.83,55.22,Medio,Beca_total,Bajo,2.32,Con deuda,Puntual,48.65,38.92,23.35,6.01,63.81,64.4,4.11,9.39,0,45.806410215019554,93.90857236484139,40.96
40,M,1,Artes,Publico,19.7,19.99,15.95,79.65,42.16,68.7,80.0,19.6,31.44,0.0,42.06,86.98,Medio,Financiamiento_familiar,Medio,11.43,Con deuda,Puntual,47.53,83.06,31.43,32.55,28.82,33.46,4.47,1.99,0,25.4136889601478,82.12726851541427,42.16
41,M,8,Negocios,Publico,7.99,7.36,0.85,46.62,44.93,50.7,80.0,21.25,0.0,57.98,33.16,49.52,Medio,Beca_parcial,Bajo,23.8,Sin deuda,Impuntual,46.39,39.95,17.14,14.37,23.6,62.48,5.5,5.19,0,90.06772445519239,90.05120666536037,44.93
42,F,4,Ingenieria,Concertado,14.05,15.99,17.31,65.0,13.67,20.26,36.95,2.08,93.6,11.65,50.07,82.57,Medio,Pago_directo,Muy_bajo,18.49,Sin deuda,Puntual,71.73,78.68,71.61,70.99,73.05,47.93,6.79,61.79,0,79.95695908819297,25.01203602277301,13.67
43,M,2,Artes,Publico,12.5,12.27,12.22,26.16,15.82,44.42,62.66,12.92,0.0,71.22,53.63,79.67,Medio,Beca_parcial,Bajo,5.05,Sin deuda,Puntual,61.55,66.17,38.57,53.37,4.03,43.68,1.44,38.31,0,50.73935508156913,100.0,15.82
44,F,5,Ciencias_Sociales,Concertado,18.34,17.42,11.36,24.46,25.51,42.21,68.24,21.92,0.0,12.59,42.33,73.16,Medio,Financiamiento_familiar,Muy_bajo,12.03,Sin deuda,Puntual,65.16,71.6,12.91,14.38,9.48,20.77,1.32,0.0,0,42.600387698222896,92.32779686970255,25.51
45,M,4,Ciencias,Privado,5.5,7.71,4.87,32.22,47.48,52.43,80.0,9.31,21.03,18.54,28.41,66.69,Muy_bajo,Pago_directo,Bajo,5.61,Sin deuda,Puntual,46.88,33.48,0.85,0.92,0.68,60.19,6.63,38.43,0,95.0,84.01757024467192,47.48
46,F,2,Salud,Concertado,5.2,6.95,4.48,53.8,16.81,18.66,39.92,19.91,22.41,44.44,31.8,63.75,Bajo,Pago_directo,Muy_bajo,9.83,Sin deuda,Puntual,56.3,47.41,61.16,80.82,15.29,68.16,4.18,31.79,0,78.88793217169818,85.99656465610389,16.81
47,M,1,Negocios,Publico,12.58,14.3,16.96,54.58,9.31,69.15,80.0,3.21,58.7,86.48,60.02,73.97,Muy_bajo,Financiamiento_familiar,Bajo,18.72,Con deuda,Puntual,32.5,59.55,14.4,17.62,6.9,41.3,4.69,6.89,0,60.681713462709794,61.70080535852613,9.31
48,F,5,Artes,Publico,8.42,8.48,5.37,25.22,77.61,24.75,80.0,22.45,0.0,21.17,32.69,54.13,Bajo,Credito,Bajo,18.51,Con deuda,Impuntual,6.94,55.93,72.31,60.62,99.58,53.69,3.89,58.61,0,66.10551666077865,90.32774015715177,77.61
49,F,4,Ingenieria,Privado,16.92,18.37,13.96,10.66,1.76,55.53,57.65,18.03,0.0,14.42,55.33,75.12,Bajo,Credito,Bajo,5.47,Sin deuda,Puntual,61.24,74.67,32.25,33.69,28.88,41.73,1.56,61.21,0,12.662825140125939,93.46619409644124,1.76
50,M,5,Artes,Publico,11.52,9.92,7.08,50.59,64.22,1.29,69.08,22.59,0.0,75.9,43.66,71.55,Muy_bajo,Credito,Bajo,22.13,Sin deuda,Puntual,53.67,62.42,45.46,58.55,14.93,66.87,5.61,67.59,0,56.3702634512479,94.70452270061308,64.22
51,F,4,Ciencias,Privado,9.19,9.56,2.51,10.27,63.04,29.81,80.0,16.24,0.0,50.06,33.12,70.55,Bajo,Credito,Bajo,14.22,Sin deuda,Puntual,59.18,51.26,29.33,31.57,24.1,39.11,5.48,63.85,0,24.37239735807352,94.17886653146847,63.04
52,F,6,Artes,Publico,6.0,8.42,0.19,46.28,23.78,28.14,54.98,8.72,23.9,86.18,44.42,43.8,Muy_bajo,Financiamiento_familiar,Bajo,9.12,Sin deuda,Puntual,64.39,38.94,34.17,8.69,93.61,66.34,2.87,0.0,0,91.59700040237159,84.17692520819753,23.78
53,F,4,Negocios,Privado,19.26,18.21,9.8,55.47,10.85,43.48,56.88,22.52,0.0,14.66,40.85,79.84,Medio,Credito,Bajo,12.05,Con deuda,Puntual,35.92,80.0,31.21,22.3,52.02,33.7,2.84,77.39,0,30.003145407451726,91.09093873650617,10.85
54,F,4,Ciencias,Concertado,20.0,20.0,17.56,56.05,11.65,5.82,19.64,6.61,46.29,64.59,61.77,78.27,Alto,Credito,Bajo,14.52,Con deuda,Impuntual,52.55,81.77,24.11,18.81,36.48,33.99,6.03,36.42,1,27.341981070468556,55.864464188382854,11.65
55,F,6,Ciencias_Sociales,Privado,11.77,11.72,6.64,60.28,55.79,63.21,80.0,7.97,59.12,18.29,33.85,67.12,Muy_bajo,Financiamiento_familiar,Bajo,13.44,Sin deuda,Impuntual,33.4,63.63,56.16,42.8,87.34,52.34,1.43,85.9,0,54.553129002864395,59.51914762984297,55.79
56,F,3,Ciencias_Sociales,Publico,11.72,9.42,6.43,69.83,51.42,17.42,70.01,16.82,12.62,10.68,41.89,78.34,Alto,Pago_directo,Bajo,11.67,Con deuda,Puntual,61.22,67.56,57.93,65.83,39.5,34.57,6.29,0.0,0,48.6656750818764,84.17117507537485,51.42
57,M,1,Artes,Concertado,10.3,11.62,6.19,40.0,62.62,54.16,80.0,18.37,6.18,63.34,53.09,70.55,Bajo,Financiamiento_familiar,Bajo,12.12,Con deuda,Puntual,29.79,55.83,28.52,26.38,33.5,37.12,2.54,84.39,0,66.25900888384093,99.38819240243816,62.62
58,M,1,Salud,Publico,13.63,11.97,9.37,58.42,75.0,64.26,80.0,22.31,0.0,59.37,56.3,77.72,Bajo,Beca_total,Muy_bajo,4.23,Sin deuda,Impuntual,46.27,60.9,7.06,1.21,20.73,48.0,4.56,71.98,0,29.325331271129183,100.0,75.0
59,M,5,Ciencias,Publico,12.14,12.8,7.93,49.53,55.35,44.95,80.0,4.92,66.4,75.48,47.51,80.67,Muy_bajo,Beca_total,Bajo,19.51,Con deuda,Puntual,16.98,67.18,47.66,51.89,37.78,30.85,6.62,79.22,0,24.612289210193595,58.92292344304877,55.35
60,M,4,Ciencias,Concertado,20.0,17.93,15.84,14.93,12.47,59.27,73.99,19.15,0.0,25.95,50.42,87.28,Bajo,Pago_directo,Bajo,13.0,Sin deuda,Puntual,51.39,89.84,51.9,60.58,31.67,22.1,5.07,0.33,0,5.080362114840442,92.8937981691109,12.47
61,M,5,Ciencias_Sociales,Privado,15.08,17.31,9.1,2.06,19.48,52.95,76.45,17.73,0.0,44.8,42.79,53.99,Medio,Credito,Bajo,3.15,Sin deuda,Puntual,63.07,77.41,87.72,96.29,67.73,57.03,3.49,55.88,0,11.296722737234665,100.0,19.48
62,M,2,Ciencias_Sociales,Privado,12.18,11.14,9.14,22.76,67.38,28.44,80.0,1.53,43.7,40.55,55.52,82.74,Medio,Beca_parcial,Muy_bajo,18.39,Sin deuda,Impuntual,55.29,69.17,49.95,58.95,28.96,36.63,5.14,77.99,0,46.23839396642962,55.469892083732816,67.38
63,F,1,Negocios,Concertado,5.89,4.52,2.49,35.44,16.74,64.71,80.0,9.29,31.55,93.41,53.27,73.05,Muy_bajo,Financiamiento_familiar,Bajo,22.38,Con deuda,Puntual,29.48,50.89,50.3,47.12,57.72,55.04,3.06,63.35,0,73.66452386793473,73.78025027503325,16.74
64,M,1,Ciencias_Sociales,Publico,13.42,11.57,17.69,49.37,5.8,23.58,32.78,6.79,43.41,24.22,42.19,64.94,Muy_bajo,Financiamiento_familiar,Bajo,22.74,Con deuda,Impuntual,6.3,64.53,42.11,57.34,6.59,45.8,2.66,52.56,0,53.20139063288784,40.879420634463074,5.8
65,M,2,Ciencias,Publico,5.99,8.22,4.5,68.0,56.26,45.7,80.0,7.31,52.5,24.48,32.16,66.85,Bajo,Financiamiento_familiar,Bajo,8.86,Sin deuda,Impuntual,39.36,52.58,70.69,92.79,19.13,40.99,6.98,85.56,0,71.13410828819431,69.30544396585309,56.26
66,F,4,Salud,Concertado,8.98,10.04,1.32,15.7,32.2,59.63,80.0,23.59,0.0,35.45,35.78,52.54,Bajo,Credito,Bajo,3.25,Con deuda,Puntual,37.77,56.71,70.21,82.84,40.74,53.21,5.5,35.29,0,21.642670819549746,100.0,32.2
67,M,3,Negocios,Publico,14.46,15.67,11.94,10.04,73.6,30.32,80.0,15.43,0.0,56.46,42.79,80.08,Muy_bajo,Beca_total,Bajo,12.44,Con deuda,Impuntual,10.33,73.13,50.72,32.3,93.69,42.77,4.87,55.43,0,6.718189893880721,96.48371119049959,73.6
68,F,3,Ingenieria,Publico,14.61,14.61,10.72,77.08,52.02,24.22,80.0,17.22,54.93,20.23,39.41,74.85,Bajo,Pago_directo,Bajo,2.7,Con deuda,Impuntual,16.24,66.16,27.93,23.73,37.73,50.92,3.13,38.63,0,50.759730858351595,86.6574889703279,52.02
69,M,7,Artes,Publico,10.4,10.27,7.47,8.64,7.23,36.75,44.32,23.44,0.0,91.53,40.9,50.16,Medio,Credito,Muy_bajo,22.42,Con deuda,Puntual,46.27,52.21,38.31,26.26,66.41,62.62,1.29,75.28,0,23.896900721484077,91.0539342669892,7.23
70,Other,2,Salud,Publico,10.4,8.45,7.6,38.28,75.83,65.44,80.0,9.05,40.92,21.57,40.21,72.21,Alto,Financiamiento_familiar,Muy_bajo,4.41,Con deuda,Puntual,72.85,58.81,42.96,50.44,25.51,62.94,1.19,0.0,0,61.77766127844826,78.20337703665446,75.83
71,F,3,Artes,Publico,16.34,16.64,14.13,46.85,20.68,74.39,80.0,19.24,0.0,84.58,65.27,63.48,Bajo,Pago_directo,Bajo,6.07,Sin deuda,Puntual,59.16,77.22,55.89,74.4,12.7,45.63,4.33,41.11,0,34.16832076071707,100.0,20.68
72,M,6,Ingenieria,Publico,10.77,9.5,3.52,43.31,26.98,43.61,73.49,10.43,38.41,5.35,45.35,74.62,Alto,Financiamiento_familiar,Bajo,9.76,Con deuda,Puntual,77.29,59.36,36.98,50.32,5.85,42.79,5.57,23.7,0,60.95993075234796,70.42867371557894,26.98
73,M,3,Negocios,Publico,18.39,20.0,14.76,6.88,32.18,52.92,80.0,20.87,0.0,65.66,57.76,84.75,Bajo,Credito,Bajo,9.2,Con deuda,Puntual,38.52,76.42,13.91,6.78,30.54,14.42,4.22,70.19,0,11.79175018669415,100.0,32.18
74,F,4,Ciencias,Publico,15.36,16.84,11.68,4.56,4.1,72.26,77.52,4.34,5.25,90.7,59.23,70.46,Bajo,Credito,Bajo,19.07,Sin deuda,Puntual,50.48,75.78,55.38,72.36,15.77,34.33,6.04,49.3,0,12.108830220050981,79.33919350690739,4.1
75,F,6,Ciencias_Sociales,Privado,16.63,16.19,7.54,8.44,39.72,7.88,50.69,22.74,0.0,11.87,49.28,62.95,Muy_bajo,Financiamiento_familiar,Bajo,10.95,Sin deuda,Puntual,46.03,77.65,61.64,80.6,17.4,32.09,1.2,86.39,0,11.17572411929646,90.14858992487888,39.72
76,F,7,Ingenieria,Publico,6.9,5.16,8.24,46.85,9.87,18.57,30.98,5.25,54.78,91.83,42.83,55.19,Medio,Pago_directo,Bajo,4.1,Con deuda,Impuntual,29.17,46.1,43.09,28.95,76.08,53.58,3.2,76.2,0,80.84506066277906,72.07800859046678,9.87
77,F,1,Ingenieria,Publico,4.89,6.32,4.62,43.55,32.08,56.71,80.0,7.83,61.08,40.29,42.37,65.3,Alto,Pago_directo,Bajo,6.41,Con deuda,Puntual,65.54,44.53,46.96,66.41,1.58,58.13,2.42,0.0,0,83.20839759177503,72.23042871570946,32.08
78,M,7,Negocios,Concertado,20.0,18.11,13.54,18.7,28.06,65.9,80.0,18.15,0.0,94.57,61.07,85.39,Medio,Beca_parcial,Bajo,12.22,Sin deuda,Puntual,77.47,89.1,46.6,42.66,55.78,17.39,3.68,22.24,0,5.448692215198115,100.0,28.06
79,M,3,Artes,Publico,6.88,5.33,9.23,51.02,61.83,68.56,80.0,9.45,52.29,67.68,41.21,53.31,Bajo,Beca_parcial,Bajo,3.54,Sin deuda,Puntual,57.78,53.05,73.62,88.91,37.95,56.85,1.43,0.0,1,70.41851228826197,85.66731137830978,61.83
80,M,2,Artes,Privado,11.96,10.52,5.78,65.61,64.25,33.21,80.0,14.6,16.78,25.16,39.12,57.18,Medio,Pago_directo,Muy_bajo,14.68,Sin deuda,Puntual,62.38,66.7,74.36,84.52,50.65,39.55,6.72,14.94,0,49.9543961101686,81.91087036472186,64.25
81,F,3,Ciencias_Sociales,Concertado,12.73,13.01,10.73,3.33,12.27,7.15,21.88,10.67,0.0,13.83,35.65,60.56,Muy_bajo,Pago_directo,Bajo,13.58,Sin deuda,Puntual,46.61,63.95,53.67,52.54,56.28,37.98,2.34,49.19,0,18.02643754318829,65.30167796085289,12.27
82,F,8,Salud,Publico,19.9,20.0,17.92,39.85,29.32,35.02,67.76,17.82,0.0,25.37,56.95,87.87,Medio,Pago_directo,Muy_bajo,17.15,Con deuda,Puntual,33.13,91.86,57.81,69.15,31.34,34.46,6.53,73.08,0,12.203483713378194,84.80463566797116,29.32
83,M,3,Artes,Publico,12.19,11.26,7.83,55.14,29.87,18.46,48.83,5.48,43.05,9.3,34.89,75.39,Bajo,Credito,Bajo,22.5,Sin deuda,Puntual,55.0,70.48,70.69,88.33,29.51,43.07,3.56,75.66,0,44.273667035849066,40.94092206006017,29.87
84,M,2,Salud,Privado,16.49,14.41,16.57,20.18,12.11,23.3,37.05,1.4,44.82,9.39,46.99,68.88,Bajo,Financiamiento_familiar,Muy_bajo,21.89,Con deuda,Impuntual,9.77,77.32,56.7,49.57,73.34,27.82,6.91,3.75,0,34.02017543662859,34.15270445721514,12.11
85,M,4,Ciencias,Privado,11.82,11.64,6.21,24.62,63.88,61.78,80.0,7.2,28.73,5.47,32.54,74.2,Bajo,Pago_directo,Bajo,22.71,Sin deuda,Impuntual,44.03,63.37,48.07,31.33,87.13,31.45,4.32,0.3,0,54.94493520920341,54.387258520493475,63.88
86,M,2,Ingenieria,Publico,8.83,10.07,0.99,49.09,56.58,6.04,62.99,11.38,30.58,37.29,42.92,46.61,Medio,Financiamiento_familiar,Muy_bajo,5.87,Sin deuda,Puntual,79.73,52.65,58.53,75.37,19.26,54.28,6.58,40.93,0,71.01914876580948,82.89468184674084,56.58
87,F,1,Negocios,Concertado,7.02,5.63,3.68,71.83,15.23,66.21,80.0,4.03,78.79,74.56,41.57,69.46,Muy_bajo,Financiamiento_familiar,Bajo,3.16,Sin deuda,Impuntual,33.83,43.66,18.33,22.01,9.76,63.98,1.03,48.71,0,84.51657482608144,72.67738222682192,15.23
